Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1957,Daiei Unions,aoyama000hir,Hiroharu Aoyama*,24,2,4,0.333,1.97,48,3,18,0,0,NA,105.1,88,37,23,1,50,1,58,2,0,3,453,1.31,7.5,0.1,4.3,5,1.16
1957,Daiei Unions,fujimo000sho,Shoichi Fujimoto,19,0,0,NA,6,2,0,1,0,0,NA,3,1,2,2,1,0,0,1,1,0,0,12,0.333,3,3,0,3,NA
1957,Daiei Unions,hanaza000hid,Hideo Hanazawa,20,0,0,NA,13.5,3,0,2,0,0,NA,4.2,7,8,7,1,3,0,2,0,0,2,25,2.143,13.5,1.9,5.8,3.9,0.67
1957,Daiei Unions,hirota000isa,Isamu Hirota,19,0,1,0,10.13,4,1,2,0,0,NA,8,14,11,9,3,5,0,6,0,0,0,42,2.375,15.8,3.4,5.6,6.8,1.2
1957,Daiei Unions,komai-000tet,Tetsuo Komai?,19,0,0,NA,16.88,3,0,1,0,0,NA,2.2,6,5,5,0,1,0,2,0,0,0,15,2.625,20.3,0,3.4,6.8,2
1957,Daiei Unions,miura-004mas,Masayoshi Miura,23,12,21,0.364,3.54,49,25,9,10,1,NA,224,218,107,88,11,62,1,110,3,0,4,954,1.25,8.8,0.4,2.5,4.4,1.77
1957,Daiei Unions,morigu000tet,Tetsuo Moriguchi,22,0,7,0,4.68,23,8,4,1,0,NA,59.2,66,39,31,1,24,1,36,0,0,2,269,1.508,10,0.2,3.6,5.4,1.5
1957,Daiei Unions,nishim000mic,Michinori Nishimoto,19,3,2,0.6,4.26,27,4,10,0,0,NA,57,57,31,27,6,17,0,24,0,0,1,235,1.298,9,0.9,2.7,3.8,1.41
1957,Daiei Unions,ogawa-000yos,Yoshiharu Ogawa,33,0,0,NA,9,5,0,3,0,0,NA,6,8,6,6,0,3,0,1,0,0,0,28,1.833,12,0,4.5,1.5,0.33
1957,Daiei Unions,ota---000mas,Masao Ota,23,6,20,0.231,3.36,60,29,11,3,1,NA,206,177,90,77,17,74,4,93,4,0,1,854,1.218,7.7,0.7,3.2,4.1,1.26
1957,Daiei Unions,sakaga000ats,Atsushi Sakagami,22,1,3,0.25,3.7,20,4,9,0,0,NA,48.2,49,25,20,5,20,1,24,1,0,1,214,1.418,9.1,0.9,3.7,4.4,1.2
1957,Daiei Unions,taki--000yos,Yoshihiko Taki,28,13,9,0.591,3.07,49,30,13,6,4,NA,205.1,188,84,70,16,71,1,70,4,1,1,845,1.261,8.2,0.7,3.1,3.1,0.99
1957,Daiei Unions,tanaka000ter,Teruo Tanaka,24,3,13,0.188,3.29,58,19,17,2,1,NA,164.1,157,73,60,9,49,1,39,4,0,1,696,1.254,8.6,0.5,2.7,2.1,0.8
1957,Daiei Unions,yamamo003yos,Yoshiji Yamamoto*,22,0,6,0,5.46,26,6,5,1,0,NA,57.2,63,36,35,3,34,0,27,1,0,3,261,1.682,9.8,0.5,5.3,4.2,0.79
1957,Daiei Unions,yokoya000kun,Kunio Yokoyama,21,0,1,0,5.79,7,1,3,0,0,NA,14,19,12,9,2,6,0,2,0,0,0,67,1.786,12.2,1.3,3.9,1.3,0.33
1957,Daiei Unions,yoshio000shi,Shiro Yoshioka*,21,1,2,0.333,5.11,9,2,1,0,0,NA,12.1,18,9,7,0,3,0,1,1,0,0,58,1.703,13.1,0,2.2,0.7,0.33
