Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1961,Daimai Orions,aramak000ats,Atsushi Aramaki*,35,0,0,NA,2.42,23,0,7,0,0,NA,26,24,7,7,1,8,0,10,1,0,1,107,1.231,8.3,0.3,2.8,3.5,1.25
1961,Daimai Orions,desa--000dic,Dick DeSa,20,5,4,0.556,2.93,23,18,1,5,1,NA,101.1,72,40,33,5,55,0,76,2,2,2,426,1.253,6.4,0.4,4.9,6.8,1.38
1961,Daimai Orions,hasega000tak,Takeshi Hasegawa,23,0,0,NA,0,1,0,1,0,0,NA,1,1,0,0,0,0,0,1,0,0,0,4,1,9,0,0,9,NA
1961,Daimai Orions,iio---000tak,Takao Iio,27,0,0,NA,4.26,7,1,1,0,0,NA,12.2,19,6,6,1,2,0,6,0,0,0,58,1.658,13.5,0.7,1.4,4.3,3
1961,Daimai Orions,inoue-000kat,Katsumi Inoue*,18,0,0,NA,NA,1,0,0,0,0,NA,0,0,0,0,0,2,0,0,0,0,1,2,NA,NA,NA,NA,NA,0
1961,Daimai Orions,kurimo000mit,Mitsuaki Kurimoto,25,0,0,NA,4.5,3,1,1,0,0,NA,4,6,4,2,0,0,0,1,1,0,0,19,1.5,13.5,0,0,2.3,NA
1961,Daimai Orions,mihira000har,Haruki Mihira*,22,14,12,0.538,3.14,39,27,4,5,2,NA,180.2,156,71,63,17,52,6,98,3,1,0,749,1.151,7.8,0.8,2.6,4.9,1.88
1961,Daimai Orions,miura-004mas,Masayoshi Miura,27,1,1,0.5,6.43,6,0,4,0,0,NA,7,8,5,5,2,3,0,2,0,0,0,31,1.571,10.3,2.6,3.9,2.6,0.67
1961,Daimai Orions,nakaga001tak,Takashi Nakagawa,25,3,3,0.5,4.47,22,4,2,0,0,NA,56.1,59,34,28,2,15,0,36,0,0,0,240,1.314,9.4,0.3,2.4,5.8,2.4
1961,Daimai Orions,nakani000kat,Katsumi Nakanishi,26,6,5,0.545,3.52,28,17,5,3,1,NA,120.1,127,55,47,13,33,2,46,6,0,2,508,1.33,9.5,1,2.5,3.4,1.39
1961,Daimai Orions,nishit001wil,Bill Nishita,30,9,6,0.6,3.36,32,15,6,2,0,NA,112.2,113,50,42,11,31,2,54,7,0,0,475,1.278,9,0.9,2.5,4.3,1.74
1961,Daimai Orions,ono---002sho,Shoichi Ono*,27,17,14,0.548,3.16,58,27,21,11,3,NA,251,213,105,88,24,97,2,211,4,1,2,1048,1.235,7.6,0.9,3.5,7.6,2.18
1961,Daimai Orions,sakai-000kat,Katsuji Sakai,23,2,6,0.25,3.33,22,10,3,2,1,NA,75.2,67,34,28,3,24,0,57,4,2,1,321,1.203,8,0.4,2.9,6.8,2.38
1961,Daimai Orions,sugawa000nor,Norimoto Sugawara,20,0,0,NA,4.5,3,0,3,0,0,NA,4,5,2,2,0,0,0,1,0,0,0,17,1.25,11.3,0,0,2.3,NA
1961,Daimai Orions,sugish000shi,Shigeru Sugishita,35,4,6,0.4,2.44,32,4,16,2,0,NA,85,77,29,23,5,29,2,53,1,0,2,353,1.247,8.2,0.5,3.1,5.6,1.83
1961,Daimai Orions,uemura000yos,Yoshinobu Uemura,26,2,0,1,3.23,19,0,8,0,0,NA,30.2,25,13,11,5,5,0,27,0,0,0,118,0.978,7.3,1.5,1.5,7.9,5.4
1961,Daimai Orions,wako--000tom,Tomoo Wako,24,9,9,0.5,3.19,50,16,24,3,0,NA,175,151,74,62,8,60,4,115,8,0,6,734,1.206,7.8,0.4,3.1,5.9,1.92
