Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1962,Kokutetsu Swallows,arakaw000iwa,Iwao Arakawa,20,0,0,NA,8.59,4,0,3,0,0,NA,7.1,10,9,7,2,2,0,3,0,0,0,34,1.636,12.3,2.5,2.5,3.7,1.5
1962,Kokutetsu Swallows,fukita000tos,Toshiaki Fukita,25,0,0,NA,9,1,0,1,0,0,NA,1,2,2,1,0,0,0,0,0,0,0,5,2,18,0,0,0,NA
1962,Kokutetsu Swallows,inagak000hir,Hiroaki Inagaki,26,0,0,NA,12,2,0,2,0,0,NA,3,5,4,4,2,1,0,2,0,0,0,13,2,15,6,3,6,2
1962,Kokutetsu Swallows,ishido000shi,Shiroku Ishido,21,0,0,NA,3.86,3,0,1,0,0,NA,2.1,3,1,1,0,1,0,1,0,0,0,10,1.714,11.6,0,3.9,3.9,1
1962,Kokutetsu Swallows,kaneda002mas,Masaichi Kaneda*,28,22,17,0.564,1.73,48,30,17,24,1,NA,343.1,265,78,66,25,80,10,262,8,0,5,1342,1.005,6.9,0.7,2.1,6.9,3.28
1962,Kokutetsu Swallows,kitaga000yos,Yoshio Kitagawa,29,9,10,0.474,2.21,37,25,2,9,5,NA,175,153,51,43,7,41,1,74,4,0,2,708,1.109,7.9,0.4,2.1,3.8,1.8
1962,Kokutetsu Swallows,morita002yos,Yoshimi Moritaki,24,0,7,0,3.43,24,9,7,0,0,NA,63,59,27,24,3,15,0,28,1,0,1,256,1.175,8.4,0.4,2.1,4,1.87
1962,Kokutetsu Swallows,murata000gen,Genichi Murata,24,12,16,0.429,2.37,40,28,6,12,3,NA,216.1,199,73,57,14,28,5,102,1,0,0,855,1.049,8.3,0.6,1.2,4.2,3.64
1962,Kokutetsu Swallows,shibut000sei,Seiji Shibutani*,23,6,8,0.429,3.05,42,17,13,4,3,NA,133,111,51,45,20,43,0,75,6,0,2,536,1.158,7.5,1.4,2.9,5.1,1.74
1962,Kokutetsu Swallows,shimat000isa,Isao Shimatani,23,0,0,NA,0,3,0,2,0,0,NA,5,4,2,0,0,1,0,1,0,0,0,20,1,7.2,0,1.8,1.8,1
1962,Kokutetsu Swallows,suzuki000kiy,Kiyotake Suzuki,21,1,6,0.143,3.88,41,5,12,0,0,NA,97.1,79,44,42,4,37,2,69,6,0,3,406,1.192,7.3,0.4,3.4,6.4,1.86
1962,Kokutetsu Swallows,tadoko000zen,Zenjiro Tadokoro,27,0,5,0,2.67,34,6,10,2,0,NA,81,64,32,24,5,18,2,43,1,0,3,323,1.012,7.1,0.6,2,4.8,2.39
1962,Kokutetsu Swallows,tatsum000haj,Hajimu Tatsumi*,26,1,10,0.091,3.83,34,14,7,0,0,NA,98.2,102,47,42,9,23,0,77,5,0,3,421,1.267,9.3,0.8,2.1,7,3.35
