Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1963,Nishitetsu Lions,abe---001kaz,Kazuharu Abe,23,10,1,0.909,1.75,53,3,23,0,0,NA,144,101,30,28,11,43,3,64,7,0,3,564,1,6.3,0.7,2.7,4,1.49
1963,Nishitetsu Lions,goto--000osa,Osamu Goto*,29,0,1,0,4.02,13,0,6,0,0,NA,15.2,10,8,7,1,9,0,14,3,0,2,69,1.213,5.7,0.6,5.2,8,1.56
1963,Nishitetsu Lions,hata--000tak,Takayuki Hata*,25,13,11,0.542,2.94,40,34,1,6,1,NA,196,183,77,64,18,80,1,114,7,0,4,831,1.342,8.4,0.8,3.7,5.2,1.43
1963,Nishitetsu Lions,inao--000kaz,Kazuhisa Inao,26,28,16,0.636,2.54,74,34,32,24,2,NA,386,358,121,109,26,70,9,226,10,1,1,1558,1.109,8.3,0.6,1.6,5.3,3.23
1963,Nishitetsu Lions,inoue-002yos,Yoshio Inoue*,21,6,4,0.6,3.45,36,14,8,4,2,NA,114.2,111,53,44,10,31,3,74,2,0,0,479,1.238,8.7,0.8,2.4,5.8,2.39
1963,Nishitetsu Lions,nakaji000jun,Junichi Nakajima,25,0,0,NA,3.77,8,0,2,0,0,NA,14.1,16,6,6,1,4,0,6,1,0,0,58,1.395,10,0.6,2.5,3.8,1.5
1963,Nishitetsu Lions,shimok000mit,Mitsuyasu Shimokawa,28,0,0,NA,3.86,1,1,0,0,0,NA,2.1,3,1,1,0,1,0,1,0,0,0,12,1.714,11.6,0,3.9,3.9,1
1963,Nishitetsu Lions,sugima000osa,Isao Sugimachi,21,0,2,0,3.15,10,3,2,0,0,NA,20,17,7,7,1,7,0,12,0,0,0,82,1.2,7.7,0.5,3.2,5.4,1.71
1963,Nishitetsu Lions,tanaka000kih,Kihachiro Tanaka,25,0,0,NA,10.8,3,0,2,0,0,NA,5,9,6,6,1,1,0,0,1,0,0,24,2,16.2,1.8,1.8,0,0
1963,Nishitetsu Lions,tanaka000tsu,Tsutomu Tanaka,23,17,8,0.68,2.66,51,29,10,6,4,NA,216.1,177,74,64,16,55,2,133,0,1,3,860,1.072,7.4,0.7,2.3,5.5,2.42
1963,Nishitetsu Lions,wako--000tad,Tadao Wako,26,12,12,0.5,2.31,51,23,12,5,2,NA,202.2,155,69,52,13,86,6,133,9,1,6,841,1.189,6.9,0.6,3.8,5.9,1.55
1963,Nishitetsu Lions,yoda--000yor,Yoshinobu Yoda,19,0,5,0,3.57,19,9,7,0,0,NA,58,54,25,23,7,19,0,34,3,1,1,244,1.259,8.4,1.1,2.9,5.3,1.79
