Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1964,Hankyu Braves,adachi000mit,Mitsuhiro Adachi,24,13,15,0.464,2.78,46,29,11,8,4,NA,236,200,82,73,26,37,3,125,5,0,0,927,1.004,7.6,1,1.4,4.8,3.38
1964,Hankyu Braves,akimot000yus,Yusaku Akimoto,29,0,0,NA,18,1,0,0,0,0,NA,2,5,4,4,0,0,0,1,0,0,0,11,2.5,22.5,0,0,4.5,NA
1964,Hankyu Braves,ando--000har,Haruhisa Ando,27,4,3,0.571,3.53,31,11,4,3,0,NA,109.2,101,50,43,5,33,1,42,3,0,0,453,1.222,8.3,0.4,2.7,3.4,1.27
1964,Hankyu Braves,ishii-000shi,Shigeo Ishii,25,28,15,0.651,2.85,62,33,22,18,3,NA,325,304,122,103,21,63,5,176,8,0,1,1325,1.129,8.4,0.6,1.7,4.9,2.79
1964,Hankyu Braves,kajimo000tak,Takao Kajimoto*,29,9,13,0.409,3.34,53,28,14,6,1,NA,231.2,237,96,86,11,61,8,142,2,0,3,980,1.286,9.2,0.4,2.4,5.5,2.33
1964,Hankyu Braves,kanemo000hid,Hideo Kanemoto,22,0,0,NA,3.33,12,0,7,0,0,NA,24.1,28,13,9,2,6,0,14,2,1,0,107,1.397,10.4,0.7,2.2,5.2,2.33
1964,Hankyu Braves,matsum000ter,Teruo Matsumoto,21,0,0,NA,2.08,3,1,0,0,0,NA,8.2,8,4,2,0,4,0,3,0,0,0,38,1.385,8.3,0,4.2,3.1,0.75
1964,Hankyu Braves,mihira000har,Haruki Mihira*,25,3,1,0.75,3.13,17,4,4,0,0,NA,31.2,27,20,11,3,15,0,22,1,1,0,140,1.326,7.7,0.9,4.3,6.3,1.47
1964,Hankyu Braves,muraka000hir,Hiromichi Murakami,19,0,0,NA,5.14,3,0,2,0,0,NA,7,12,6,4,0,2,0,4,0,0,0,34,2,15.4,0,2.6,5.1,2
1964,Hankyu Braves,oishi-000yat,Yataro Oishi,20,1,0,1,4.53,25,1,13,0,0,NA,43.2,48,28,22,5,6,0,18,1,0,0,186,1.237,9.9,1,1.2,3.7,3
1964,Hankyu Braves,sato--000kim,Kimihiro Sato,27,0,0,NA,1.38,7,1,3,0,0,NA,13,11,3,2,2,3,0,3,1,0,0,54,1.077,7.6,1.4,2.1,2.1,1
1964,Hankyu Braves,toda--000yos,Yoshinori Toda,18,0,2,0,5.54,8,2,5,0,0,NA,13,16,9,8,2,4,0,15,0,0,0,57,1.538,11.1,1.4,2.8,10.4,3.75
1964,Hankyu Braves,watana000kaz,Kazushi Watanabe*,23,0,0,NA,0,1,0,1,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,NA
1964,Hankyu Braves,yoneda000tet,Tetsuya Yoneda,26,21,16,0.568,2.53,60,40,15,14,4,NA,319.2,268,110,90,25,81,4,180,9,0,0,1290,1.092,7.5,0.7,2.3,5.1,2.22
