Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1967,Tokyo Orions,kawato000ryu,Ryunosuke Kawato*,19,0,0,NA,4.5,2,0,2,0,0,NA,2,2,1,1,1,1,0,1,0,0,0,8,1.5,9,4.5,4.5,4.5,1
1967,Tokyo Orions,kitaru000mas,Masaaki Kitaru,20,8,8,0.5,2.53,44,12,21,1,0,NA,146,129,45,41,11,26,5,90,5,0,0,589,1.062,8,0.7,1.6,5.5,3.46
1967,Tokyo Orions,koyama000mas,Masaaki Koyama,32,13,11,0.542,3.24,44,30,6,9,1,NA,225.1,223,101,81,26,55,6,126,7,0,2,949,1.234,8.9,1,2.2,5,2.29
1967,Tokyo Orions,lee---000gen,Genkoku Lee?,19,0,0,NA,13.5,1,0,0,0,0,NA,1.1,2,2,2,0,1,0,0,0,0,0,7,2.25,13.5,0,6.8,0,0
1967,Tokyo Orions,maki--000kat,Katsuhiko Maki,24,0,1,0,5.28,11,1,6,0,0,NA,15.1,19,9,9,3,2,0,9,0,1,0,65,1.37,11.2,1.8,1.2,5.3,4.5
1967,Tokyo Orions,narita000fum,Fumio Narita,20,14,16,0.467,2.11,55,35,18,10,3,NA,272.2,208,82,64,23,52,6,179,2,0,5,1072,0.954,6.9,0.8,1.7,5.9,3.44
1967,Tokyo Orions,ryu---000tak,Takayuki Ryu*,25,0,0,NA,9,1,0,1,0,0,NA,1,2,3,1,1,1,0,1,0,0,0,7,3,18,9,9,9,1
1967,Tokyo Orions,sakai-000kat,Katsuji Sakai,29,13,18,0.419,3.28,45,34,10,11,1,NA,244.1,194,101,89,33,58,4,173,9,0,0,966,1.031,7.1,1.2,2.1,6.4,2.98
1967,Tokyo Orions,sakota000shi,Shichiro Sakota,22,0,0,NA,2.57,7,1,4,0,0,NA,14,13,4,4,1,3,0,3,0,0,0,57,1.143,8.4,0.6,1.9,1.9,1
1967,Tokyo Orions,sato--000mot,Motohiko Sato,24,8,8,0.5,2.79,45,16,10,2,0,NA,167.2,137,59,52,13,48,5,85,11,1,0,682,1.103,7.4,0.7,2.6,4.6,1.77
1967,Tokyo Orions,suzuki007tak,Takashi Suzuki*,33,4,2,0.667,4.78,41,4,10,0,0,NA,52.2,56,29,28,9,20,3,34,5,0,1,233,1.443,9.6,1.5,3.4,5.8,1.7
1967,Tokyo Orions,tsumas000yos,Yoshiro Tsumajima,28,1,5,0.167,3.91,30,4,14,0,0,NA,73.2,77,34,32,7,20,1,31,1,0,1,304,1.317,9.4,0.9,2.4,3.8,1.55
1967,Tokyo Orions,yagisa000sor,Soroku Yagisawa,22,0,0,NA,0,1,0,1,0,0,NA,1,2,2,0,0,0,0,0,1,0,0,7,2,18,0,0,0,NA
1967,Tokyo Orions,yokoya000koj,Kojiro Yokoyama,24,0,0,NA,5.73,5,0,1,0,0,NA,11,13,11,7,4,2,0,4,1,0,0,52,1.364,10.6,3.3,1.6,3.3,2
