Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1970,Yakult Atoms,asano-000kei,Keishi Asano,21,6,12,0.333,3.88,28,14,11,5,1,NA,123,125,61,53,17,48,5,78,5,0,3,537,1.407,9.1,1.2,3.5,5.7,1.63
1970,Yakult Atoms,fujiwa000mak,Makoto Fujiwara,25,1,10,0.091,3.3,27,12,6,1,0,NA,106.1,102,42,39,10,32,4,32,3,0,1,445,1.26,8.6,0.8,2.7,2.7,1
1970,Yakult Atoms,ihara-000shi,Shinichiro Ihara,18,0,1,0,4.5,5,1,3,0,0,NA,10,9,5,5,0,4,0,9,0,0,1,41,1.3,8.1,0,3.6,8.1,2.25
1970,Yakult Atoms,ishido000shi,Shiroku Ishido,29,3,15,0.167,4.6,30,25,2,2,0,NA,129,144,75,66,12,42,1,47,13,0,2,559,1.442,10,0.8,2.9,3.3,1.12
1970,Yakult Atoms,ishiok000koz,Kozo Ishioka,29,6,14,0.3,3.25,36,21,10,3,1,NA,155,138,69,56,17,48,1,104,4,0,4,636,1.2,8,1,2.8,6,2.17
1970,Yakult Atoms,kawamu000yas,Yasuhiko Kawamura,29,2,5,0.286,4.52,29,6,12,0,0,NA,63.2,67,32,32,7,28,2,34,1,0,1,269,1.492,9.5,1,4,4.8,1.21
1970,Yakult Atoms,matsuo000hir,Hiromu Matsuoka,22,4,12,0.25,4.21,45,19,17,2,2,NA,145.1,159,77,68,13,52,3,62,3,1,3,625,1.452,9.8,0.8,3.2,3.8,1.19
1970,Yakult Atoms,nishii000tet,Tetsuo Nishii,18,1,3,0.25,2.78,20,7,6,1,1,NA,64.2,57,23,20,6,14,0,27,2,0,0,259,1.098,7.9,0.8,1.9,3.8,1.93
1970,Yakult Atoms,aizawa000mas,Masaru Ogata,30,0,0,NA,3.55,21,0,7,0,0,NA,25.1,34,11,10,5,2,0,11,1,0,0,109,1.421,12.1,1.8,0.7,3.9,5.5
1970,Yakult Atoms,sunoch000mas,Masao Sunouchi,25,2,2,0.5,4.13,38,0,12,0,0,NA,76.1,73,40,35,6,37,3,56,2,0,0,324,1.441,8.6,0.7,4.4,6.6,1.51
1970,Yakult Atoms,tatsum000haj,Hajimu Tatsumi*,34,0,1,0,0.96,5,1,1,0,0,NA,9.1,10,1,1,0,2,0,4,0,0,0,39,1.286,9.6,0,1.9,3.9,2
1970,Yakult Atoms,toyama000yos,Yoshiaki Toyama*,22,4,10,0.286,3.39,43,18,13,2,2,NA,154,134,65,58,11,66,3,87,6,0,0,655,1.299,7.8,0.6,3.9,5.1,1.32
1970,Yakult Atoms,yasuki000sho,Shoji Yasuki*,21,4,7,0.364,4.11,45,6,14,0,0,NA,92,95,51,42,4,37,3,63,6,0,2,396,1.435,9.3,0.4,3.6,6.2,1.7
