Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1971,Lotte Orions,hamaur001tor,Toru Hamaura,18,0,0,NA,9,1,0,1,0,0,NA,1,2,1,1,0,1,0,1,0,0,0,6,3,18,0,9,9,1
1971,Lotte Orions,ikeda-000shi,Shigeki Ikeda,25,3,3,0.5,3.65,31,6,11,1,1,NA,93.2,90,45,38,15,24,3,32,3,0,0,386,1.217,8.6,1.4,2.3,3.1,1.33
1971,Lotte Orions,kitaru000mas,Masaaki Kitaru,24,24,8,0.75,3.45,47,33,12,19,4,NA,266,245,107,102,32,45,8,168,13,1,0,1082,1.09,8.3,1.1,1.5,5.7,3.73
1971,Lotte Orions,koyama000mas,Masaaki Koyama,36,17,8,0.68,3.24,35,28,6,16,1,NA,211,213,92,76,22,42,5,111,5,0,2,877,1.209,9.1,0.9,1.8,4.7,2.64
1971,Lotte Orions,maeda-000kos,Kosuke Maeda*,26,1,1,0.5,3.86,18,2,2,0,0,NA,23.1,19,11,10,2,15,2,19,0,1,1,101,1.457,7.3,0.8,5.8,7.3,1.27
1971,Lotte Orions,murata000cho,Choji Murata,21,12,8,0.6,3.33,43,27,9,8,1,NA,194.1,183,82,72,25,61,1,122,7,0,9,813,1.256,8.5,1.2,2.8,5.7,2
1971,Lotte Orions,narita000fum,Fumio Narita,24,11,9,0.55,4.29,35,23,8,7,2,NA,189,169,93,90,34,62,5,121,4,0,2,783,1.222,8,1.6,3,5.8,1.95
1971,Lotte Orions,sakota000shi,Shichiro Sakota,26,0,0,NA,0,1,0,0,0,0,NA,0.1,1,0,0,0,0,0,0,0,0,0,2,3,27,0,0,0,NA
1971,Lotte Orions,sato--001mas,Masao Sato*,20,0,0,NA,7.88,13,0,1,0,0,NA,8,12,8,7,3,3,1,4,1,0,0,41,1.875,13.5,3.4,3.4,4.5,1.33
1971,Lotte Orions,sato--000mot,Motohiko Sato,28,3,4,0.429,5.87,24,7,6,1,0,NA,61.1,67,43,40,14,16,2,33,3,0,0,267,1.353,9.8,2.1,2.3,4.8,2.06
1971,Lotte Orions,yagisa000sor,Soroku Yagisawa,26,4,1,0.8,4.66,23,0,8,0,0,NA,36.2,40,25,19,3,11,3,19,0,0,1,161,1.391,9.8,0.7,2.7,4.7,1.73
1971,Lotte Orions,yamada001mas,Masao Yamada*,26,0,0,NA,7.36,4,0,1,0,0,NA,3.2,4,3,3,1,2,0,2,0,0,0,15,1.636,9.8,2.5,4.9,4.9,1
1971,Lotte Orions,yokoya000koj,Kojiro Yokoyama,28,5,4,0.556,3.5,36,4,13,0,0,NA,79.2,68,32,31,10,25,6,41,6,0,0,327,1.167,7.7,1.1,2.8,4.6,1.64
