Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1972,Toei Flyers,fujiwa000mak,Makoto Fujiwara,27,7,13,0.35,4.4,42,14,9,3,0,NA,147.1,149,82,72,18,40,2,79,2,1,2,617,1.283,9.1,1.1,2.4,4.8,1.98
1972,Toei Flyers,hosaka000eij,Eiji Hosaka*,18,0,0,NA,6.75,2,0,0,0,0,NA,4,4,3,3,0,5,0,4,0,0,0,22,2.25,9,0,11.3,9,0.8
1972,Toei Flyers,kaneda000tam,Tomehiro Kaneda,25,20,12,0.625,3.24,51,33,15,18,4,NA,275,245,107,99,26,60,4,178,5,0,1,1113,1.109,8,0.9,2,5.8,2.97
1972,Toei Flyers,kataok000ken,Ken Kataoka,25,0,0,NA,4.2,7,0,2,0,0,NA,15,11,10,7,2,11,0,4,0,0,1,64,1.467,6.6,1.2,6.6,2.4,0.36
1972,Toei Flyers,minaga000yas,Yasuo Minagawa,24,1,3,0.25,4.56,22,4,7,0,0,NA,47.1,45,26,24,6,19,0,18,2,0,1,202,1.352,8.6,1.1,3.6,3.4,0.95
1972,Toei Flyers,miyaza000sho,Shoji Miyazaki,29,5,5,0.5,4.33,48,0,25,0,0,NA,87.1,84,46,42,8,42,4,51,1,0,1,378,1.443,8.7,0.8,4.3,5.3,1.21
1972,Toei Flyers,morina000chi,Chikara Morinaka,32,11,6,0.647,3.45,30,28,1,9,2,NA,164.1,172,64,63,17,34,4,87,6,0,2,683,1.254,9.4,0.9,1.9,4.8,2.56
1972,Toei Flyers,nakaha000isa,Isamu Nakahara*,21,0,0,NA,4.5,7,0,0,0,0,NA,6,7,3,3,0,1,0,2,1,0,0,28,1.333,10.5,0,1.5,3,2
1972,Toei Flyers,oba---000sus,Susumu Oba*,31,1,1,0.5,5.87,14,3,0,0,0,NA,23,32,18,15,4,18,0,18,3,0,0,120,2.174,12.5,1.6,7,7,1
1972,Toei Flyers,ozaki-000yuk,Yukio Ozaki,27,3,1,0.75,2.27,17,2,7,0,0,NA,39.2,27,12,10,4,7,1,29,2,0,0,151,0.857,6.1,0.9,1.6,6.6,4.14
1972,Toei Flyers,sugita000his,Hisao Sugita,23,0,0,NA,40.5,1,0,0,0,0,NA,2,6,9,9,2,2,0,1,0,0,0,15,4,27,9,9,4.5,0.5
1972,Toei Flyers,takaha000nao,Naoki Takahashi,27,4,7,0.364,4.42,23,16,2,1,0,NA,95.2,92,55,47,18,24,4,54,2,2,1,399,1.213,8.7,1.7,2.3,5.1,2.25
1972,Toei Flyers,takaha004yos,Yoshimasa Takahashi,28,10,13,0.435,3.79,38,26,7,9,1,NA,185,172,85,78,21,47,5,88,5,0,5,752,1.184,8.4,1,2.3,4.3,1.87
1972,Toei Flyers,uda---000tos,Toshoku Uda,23,0,0,NA,4.86,12,0,4,0,0,NA,16.2,20,11,9,4,4,1,10,1,0,0,70,1.44,10.8,2.2,2.2,5.4,2.5
1972,Toei Flyers,yamaza003tak,Takeaki Yamasaki*,31,1,0,1,1.27,20,0,3,0,0,NA,21.1,16,8,3,2,10,1,18,1,0,0,92,1.219,6.8,0.8,4.2,7.6,1.8
1972,Toei Flyers,yokoya000har,Haruhisa Yokoyama,22,0,0,NA,2.28,14,4,8,0,0,NA,27.2,25,7,7,2,11,0,8,1,0,0,118,1.301,8.1,0.7,3.6,2.6,0.73
