Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1973,Nitaku Home Flyers,eda---000koi,Koichi Eda?,25,1,0,1,5.4,14,0,4,0,0,NA,26.2,28,16,16,5,11,0,11,0,0,0,112,1.463,9.5,1.7,3.7,3.7,1
1973,Nitaku Home Flyers,fujiwa000mak,Makoto Fujiwara,28,1,2,0.333,6.33,17,0,8,0,0,NA,27,35,19,19,1,9,0,11,1,0,0,122,1.63,11.7,0.3,3,3.7,1.22
1973,Nitaku Home Flyers,fukumo000man,Manichiro Fukumoto,26,0,0,NA,9,1,0,0,0,0,NA,3,5,3,3,1,2,0,1,0,0,0,14,2.333,15,3,6,3,0.5
1973,Nitaku Home Flyers,hosaka000eij,Eiji Hosaka*,19,0,0,NA,0,1,0,0,0,0,NA,0.1,1,0,0,0,2,0,0,0,0,0,4,9,27,0,54,0,0
1973,Nitaku Home Flyers,kaneda000tam,Tomehiro Kaneda,26,7,16,0.304,3.78,37,18,14,8,3,NA,166.2,161,80,70,22,43,2,96,5,1,0,689,1.224,8.7,1.2,2.3,5.2,2.23
1973,Nitaku Home Flyers,kosaka000tos,Toshihiko Kosaka*,25,0,1,0,3,7,1,3,0,0,NA,12,4,5,4,2,11,0,6,2,0,0,47,1.25,3,1.5,8.3,4.5,0.55
1973,Nitaku Home Flyers,miura-001mas,Masaki Miura,23,6,3,0.667,2.66,27,6,11,1,0,NA,84.2,76,30,25,4,42,2,50,6,0,0,365,1.394,8.1,0.4,4.5,5.3,1.19
1973,Nitaku Home Flyers,miyaza000sho,Shoji Miyazaki,30,0,1,0,4.3,27,1,8,0,0,NA,46,43,24,22,5,24,0,30,6,1,1,201,1.457,8.4,1,4.7,5.9,1.25
1973,Nitaku Home Flyers,morina000chi,Chikara Morinaka,33,4,6,0.4,5.6,18,13,4,2,1,NA,62.2,86,43,39,10,28,4,30,4,3,1,293,1.819,12.4,1.4,4,4.3,1.07
1973,Nitaku Home Flyers,nakaha000isa,Isamu Nakahara*,22,0,1,0,4.05,9,0,1,0,0,NA,6.2,5,3,3,2,1,0,3,0,0,0,26,0.9,6.8,2.7,1.4,4.1,3
1973,Nitaku Home Flyers,niimi-000sat,Satoshi Niimi,20,12,13,0.48,3.64,54,27,23,6,2,NA,222.1,223,99,90,13,78,7,117,8,2,2,950,1.354,9,0.5,3.2,4.7,1.5
1973,Nitaku Home Flyers,ozaki-000yuk,Yukio Ozaki,28,0,0,NA,13.5,3,0,1,0,0,NA,6,12,9,9,4,2,0,3,0,1,0,32,2.333,18,6,3,4.5,1.5
1973,Nitaku Home Flyers,sugita000his,Hisao Sugita,24,1,2,0.333,7.42,18,4,3,0,0,NA,30.1,38,26,25,5,20,1,14,2,1,0,145,1.912,11.3,1.5,5.9,4.2,0.7
1973,Nitaku Home Flyers,takaha000nao,Naoki Takahashi,28,12,9,0.571,3.31,35,25,4,5,4,NA,171.1,157,67,63,17,31,3,67,8,2,0,692,1.097,8.2,0.9,1.6,3.5,2.16
1973,Nitaku Home Flyers,uda---000tos,Toshoku Uda,24,0,0,NA,6.04,12,0,2,0,0,NA,22.1,27,19,15,5,8,1,9,2,3,0,104,1.567,10.9,2,3.2,3.6,1.13
1973,Nitaku Home Flyers,watana003hid,Hidetake Watanabe,31,11,14,0.44,3.62,43,34,5,10,3,NA,214,220,98,86,25,39,1,85,12,4,1,890,1.21,9.3,1.1,1.6,3.6,2.18
1973,Nitaku Home Flyers,yamaza003tak,Takeaki Yamasaki*,32,0,1,0,2.92,39,1,7,0,0,NA,49.1,48,17,16,3,21,1,30,2,0,2,210,1.399,8.8,0.5,3.8,5.5,1.43
1973,Nitaku Home Flyers,yokoya000har,Haruhisa Yokoyama,23,0,0,NA,11.25,2,0,0,0,0,NA,4,5,5,5,3,2,0,0,0,0,0,17,1.75,11.3,6.8,4.5,0,0
