Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1973,Taiyo Whales,hirama000mas,Masaji Hiramatsu,25,17,11,0.607,3.03,49,19,23,9,1,NA,207.2,180,78,70,15,56,8,110,4,0,0,842,1.136,7.8,0.7,2.4,4.8,1.96
1973,Taiyo Whales,hiraok000ich,Ichiro Hiraoka*,27,1,2,0.333,4.78,24,2,5,0,0,NA,26.1,30,16,14,3,16,1,13,1,0,1,118,1.747,10.3,1,5.5,4.4,0.81
1973,Taiyo Whales,kotani000tad,Tadakatsu Kotani,28,0,3,0,3.23,37,3,18,0,0,NA,64,53,24,23,6,30,2,43,2,0,0,270,1.297,7.5,0.8,4.2,6,1.43
1973,Taiyo Whales,koyama000mas,Masaaki Koyama,38,4,4,0.5,2.54,15,11,2,2,2,NA,74.1,64,24,21,6,15,0,40,4,0,0,298,1.063,7.7,0.7,1.8,4.8,2.67
1973,Taiyo Whales,kuraha000hir,Hiroshi Kurahashi,27,0,0,NA,3,1,0,0,0,0,NA,3,2,3,1,0,2,0,2,0,0,0,12,1.333,6,0,6,6,1
1973,Taiyo Whales,mashib000shi,Shigekuni Mashiba*,21,0,0,NA,4.5,2,0,2,0,0,NA,2,4,3,1,1,1,0,0,0,0,0,11,2.5,18,4.5,4.5,0,0
1973,Taiyo Whales,matsus000hid,Hideo Matsushima,21,0,0,NA,2,4,0,2,0,0,NA,9,4,2,2,2,3,0,4,0,0,0,33,0.778,4,2,3,4,1.33
1973,Taiyo Whales,okue--000hid,Hideyuki Okue,22,0,0,NA,18,1,0,0,0,0,NA,1,3,2,2,2,0,0,1,0,0,0,5,3,27,18,0,9,NA
1973,Taiyo Whales,sakai-000kat,Katsuji Sakai,35,7,9,0.438,3.23,30,25,4,1,0,NA,147.2,122,56,53,17,45,3,62,8,1,2,600,1.131,7.4,1,2.7,3.8,1.38
1973,Taiyo Whales,shimad000gen,Gentaro Shimada,33,0,0,NA,5.14,9,1,3,0,0,NA,14,22,15,8,0,13,0,8,7,0,0,83,2.5,14.1,0,8.4,5.1,0.62
1973,Taiyo Whales,takaga000yos,Yoshihiro Takagaki,24,0,0,NA,4.93,23,0,6,0,0,NA,38.1,43,22,21,5,16,0,16,3,0,0,170,1.539,10.1,1.2,3.8,3.8,1
1973,Taiyo Whales,takaha001shi,Shigeyuki Takahashi,28,9,11,0.45,2.7,44,25,8,10,4,NA,206.1,173,71,62,18,43,6,129,6,3,1,826,1.047,7.5,0.8,1.9,5.6,3
1973,Taiyo Whales,takemu000kaz,Kazuyoshi Takemura,23,0,0,NA,5.91,9,0,3,0,0,NA,10.2,12,7,7,2,1,0,11,1,0,0,45,1.219,10.1,1.7,0.8,9.3,11
1973,Taiyo Whales,takeuc000hir,Hiroaki Takeuchi,19,9,13,0.409,3.58,38,21,5,6,2,NA,166,152,72,66,11,72,5,69,2,0,6,693,1.349,8.2,0.6,3.9,3.7,0.96
1973,Taiyo Whales,uzawa-000tat,Tatsuo Uzawa,20,0,1,0,15,2,0,1,0,0,NA,3,4,5,5,1,5,2,0,0,0,0,18,3,12,3,15,0,0
1973,Taiyo Whales,yamash000rit,Ritsuo Yamashita,28,13,10,0.565,3.37,42,23,12,8,2,NA,192.1,184,80,72,20,56,10,91,7,0,0,782,1.248,8.6,0.9,2.6,4.3,1.63
