Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1974,Nippon Ham Flyers,eda---000koi,Koichi Eda?,26,0,0,NA,4.24,16,0,6,0,0,1,17,19,9,8,2,1,0,11,1,0,0,69,1.176,10.1,1.1,0.5,5.8,11
1974,Nippon Ham Flyers,fujiwa000mak,Makoto Fujiwara,29,2,4,0.333,3.88,31,4,14,0,0,3,53.1,51,26,23,6,26,3,25,0,0,3,232,1.444,8.6,1,4.4,4.2,0.96
1974,Nippon Ham Flyers,hosaka000eij,Eiji Hosaka*,20,0,0,NA,6.75,3,0,0,0,0,0,1.1,2,1,1,1,2,0,2,0,0,0,7,3,13.5,6.8,13.5,13.5,1
1974,Nippon Ham Flyers,kekich001mic,Mike Kekich*,29,5,11,0.313,4.12,18,17,0,9,0,0,122.1,104,60,56,10,88,1,90,3,5,5,541,1.569,7.7,0.7,6.5,6.6,1.02
1974,Nippon Ham Flyers,kosaka000tos,Toshihiko Kosaka*,26,0,0,NA,23.14,4,0,2,0,0,0,2.1,5,6,6,3,1,0,3,0,0,0,13,2.571,19.3,11.6,3.9,11.6,3
1974,Nippon Ham Flyers,ley---001ter,Terry Ley*,27,3,2,0.6,3.32,13,6,2,2,0,0,43.1,23,17,16,3,32,1,28,2,3,2,180,1.269,4.8,0.6,6.6,5.8,0.88
1974,Nippon Ham Flyers,minaga000yas,Yasuo Minagawa,26,4,3,0.571,3.51,31,0,14,0,0,1,51.1,48,21,20,2,19,5,28,0,0,0,208,1.305,8.4,0.4,3.3,4.9,1.47
1974,Nippon Ham Flyers,miura-001mas,Masaki Miura,24,4,8,0.333,5.54,35,7,13,0,0,0,76.1,87,50,47,10,26,0,30,4,0,0,342,1.48,10.3,1.2,3.1,3.5,1.15
1974,Nippon Ham Flyers,miyaza000sho,Shoji Miyazaki,31,1,1,0.5,3.34,17,0,4,0,0,0,32.1,31,15,12,4,12,2,15,2,2,1,139,1.33,8.6,1.1,3.3,4.2,1.25
1974,Nippon Ham Flyers,morina000chi,Chikara Morinaka,34,0,4,0,8.31,15,6,2,0,0,0,26,37,25,24,3,8,0,18,0,0,0,121,1.731,12.8,1,2.8,6.2,2.25
1974,Nippon Ham Flyers,nakaha000isa,Isamu Nakahara*,23,0,0,NA,4.76,20,0,1,0,0,0,11.1,14,6,6,1,3,0,8,0,0,0,49,1.5,11.1,0.8,2.4,6.4,2.67
1974,Nippon Ham Flyers,niimi-000sat,Satoshi Niimi,21,12,14,0.462,3.83,41,30,4,10,3,2,209.1,194,99,89,25,62,5,74,3,0,1,864,1.223,8.3,1.1,2.7,3.2,1.19
1974,Nippon Ham Flyers,nomura000osa,Osamu Nomura,27,4,9,0.308,3.66,39,18,10,2,0,1,147.2,137,66,60,13,41,5,69,3,0,3,608,1.205,8.3,0.8,2.5,4.2,1.68
1974,Nippon Ham Flyers,sugita000his,Hisao Sugita,25,0,0,NA,6,3,0,1,0,0,0,3,3,2,2,0,4,1,0,0,0,0,15,2.333,9,0,12,0,0
1974,Nippon Ham Flyers,takaha001hir,Hiroshi Takahashi,28,0,0,NA,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
1974,Nippon Ham Flyers,takaha000nao,Naoki Takahashi,29,9,11,0.45,3.21,35,22,8,6,0,3,187.2,165,76,67,18,34,6,119,7,1,1,750,1.06,7.9,0.9,1.6,5.7,3.5
1974,Nippon Ham Flyers,uda---000tos,Toshoku Uda,25,0,0,NA,0,2,0,1,0,0,0,2,2,1,0,0,0,0,2,0,0,0,7,1,9,0,0,9,NA
1974,Nippon Ham Flyers,ukai--000kat,Katsuo Ukai*,26,0,2,0,10.43,11,3,5,0,0,0,14.2,22,18,17,4,12,1,8,1,0,0,75,2.318,13.5,2.5,7.4,4.9,0.67
1974,Nippon Ham Flyers,watana003hid,Hidetake Watanabe,32,4,6,0.4,3.93,42,17,8,4,1,1,130.2,138,61,57,15,28,2,66,9,3,1,551,1.27,9.5,1,1.9,4.5,2.36
1974,Nippon Ham Flyers,yamaza003tak,Takeaki Yamasaki*,33,1,0,1,9.64,11,0,2,0,0,0,9.1,11,10,10,3,7,0,4,1,0,0,46,1.929,10.6,2.9,6.8,3.9,0.57
