Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1978,Yokohama Taiyo Whales,endo--000kaz,Kazuhiko Endo,23,1,0,1,4.56,11,2,5,1,0,0,23.2,20,13,12,2,6,1,18,1,0,0,96,1.099,7.6,0.8,2.3,6.8,3
1978,Yokohama Taiyo Whales,hirama000mas,Masaji Hiramatsu,30,10,5,0.667,3.93,36,15,11,4,0,7,146.2,142,73,64,18,49,3,83,7,0,1,622,1.302,8.7,1.1,3,5.1,1.69
1978,Yokohama Taiyo Whales,kadota000fum,Fumiaki Kadota,22,5,11,0.313,5.43,39,17,11,0,0,1,109.1,114,69,66,19,54,5,94,8,1,0,489,1.537,9.4,1.6,4.4,7.7,1.74
1978,Yokohama Taiyo Whales,miyamo002shi,Shiro Miyamoto*,26,2,3,0.4,4.18,41,8,7,0,0,0,64.2,66,35,30,9,27,4,51,1,0,0,278,1.438,9.2,1.3,3.8,7.1,1.89
1978,Yokohama Taiyo Whales,nemoto000tak,Takashi Nemoto,24,1,2,0.333,7.64,18,5,5,1,0,0,33,41,29,28,5,19,0,19,2,0,0,156,1.818,11.2,1.4,5.2,5.2,1
1978,Yokohama Taiyo Whales,nomura000osa,Osamu Nomura,31,17,11,0.607,3.14,44,28,8,12,2,4,238,215,90,83,21,64,8,123,10,0,4,973,1.172,8.1,0.8,2.4,4.7,1.92
1978,Yokohama Taiyo Whales,okawa-000hir,Hiroshi Okawa*,21,0,2,0,7.34,40,2,3,0,0,0,30.2,28,25,25,4,19,2,19,0,0,0,133,1.533,8.2,1.2,5.6,5.6,1
1978,Yokohama Taiyo Whales,saito-000aki,Akio Saito,23,16,15,0.516,3.14,47,26,18,12,2,4,241,234,90,84,24,67,9,162,6,0,0,1001,1.249,8.7,0.9,2.5,6,2.42
1978,Yokohama Taiyo Whales,sekimo000mit,Mitsuhiro Sekimoto,29,0,0,NA,10.13,4,0,3,0,0,0,5.1,10,9,6,3,2,0,1,1,0,1,30,2.25,16.9,5.1,3.4,1.7,0.5
1978,Yokohama Taiyo Whales,takaha001shi,Shigeyuki Takahashi,33,8,5,0.615,3.39,35,16,5,1,0,1,130,129,59,49,9,53,7,57,4,0,1,559,1.4,8.9,0.6,3.7,3.9,1.08
1978,Yokohama Taiyo Whales,takeuc000hir,Hiroaki Takeuchi,24,1,0,1,2.08,15,0,8,0,0,0,17.1,15,6,4,2,10,0,9,3,0,0,74,1.442,7.8,1,5.2,4.7,0.9
1978,Yokohama Taiyo Whales,tamura000mas,Masao Tamura,25,3,3,0.5,3.77,40,11,8,1,1,2,86,73,40,36,14,36,2,43,5,0,1,367,1.267,7.6,1.5,3.8,4.5,1.19
1978,Yokohama Taiyo Whales,tanaka003yos,Yoshio Tanaka,22,0,0,NA,4.32,13,0,6,0,0,0,16.2,19,16,8,6,13,2,12,2,0,1,83,1.92,10.3,3.2,7,6.5,0.92
