Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1979,Nankai Hawks,fujisa000tet,Tetsuya Fujisawa*,25,0,0,NA,0,1,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,5,2,0,0,18,9,0.5
1979,Nankai Hawks,fujita000man,Manabu Fujita,24,2,5,0.286,8.67,8,5,1,0,0,0,27,39,27,26,10,10,0,9,0,0,0,126,1.815,13,3.3,3.3,3,0.9
1979,Nankai Hawks,hirasa000tak,Takayoshi Hirasawa*,25,2,11,0.154,7.06,33,13,6,2,0,0,94.1,113,79,74,20,41,1,37,3,0,0,427,1.633,10.8,1.9,3.9,3.5,0.9
1979,Nankai Hawks,hoshin000hid,Hidetaka Hoshino*,29,0,0,NA,6.48,11,0,1,0,0,0,8.1,3,8,6,1,15,1,2,0,0,0,40,2.16,3.2,1.1,16.2,2.2,0.13
1979,Nankai Hawks,kanesh000mot,Motoyasu Kaneshiro,26,4,5,0.444,3.29,53,0,50,0,0,16,98.1,66,36,36,14,35,5,69,5,0,1,384,1.027,6,1.3,3.2,6.3,1.97
1979,Nankai Hawks,matsur000tad,Tadashi Matsuura,22,0,0,NA,4.23,11,0,8,0,0,0,27.2,34,15,13,6,6,0,5,2,0,0,120,1.446,11.1,2,2,1.6,0.83
1979,Nankai Hawks,morigu000mas,Masumitsu Moriguchi,25,9,14,0.391,4.17,32,26,3,11,3,0,179,188,102,83,20,77,0,102,4,0,1,790,1.48,9.5,1,3.9,5.1,1.32
1979,Nankai Hawks,muraka000yuk,Yukihiro Murakami,22,5,6,0.455,5.18,34,7,13,1,0,2,90.1,94,57,52,13,54,1,52,7,0,6,417,1.638,9.4,1.3,5.4,5.2,0.96
1979,Nankai Hawks,oishi-000yat,Yataro Oishi,35,0,0,NA,3.95,36,0,9,0,0,0,57,67,30,25,7,10,0,35,3,0,0,250,1.351,10.6,1.1,1.6,5.5,3.5
1979,Nankai Hawks,sasaki000koi,Koichiro Sasaki,35,3,7,0.3,3.48,38,15,3,2,0,1,139.2,144,66,54,16,27,7,37,8,0,0,589,1.224,9.3,1,1.7,2.4,1.37
1979,Nankai Hawks,sugita000his,Hisao Sugita,30,7,14,0.333,5.62,36,22,5,0,0,0,147.1,185,101,92,27,55,1,28,6,0,1,655,1.629,11.3,1.6,3.4,1.7,0.51
1979,Nankai Hawks,tamura000mas,Masao Tamura,26,2,4,0.333,8.09,24,12,7,0,0,0,69,99,64,62,16,34,2,30,1,1,1,330,1.928,12.9,2.1,4.4,3.9,0.88
1979,Nankai Hawks,yamauc000shi,Shinichi Yamauchi,31,12,7,0.632,4.14,30,30,0,7,1,0,193.2,219,104,89,20,56,6,64,8,0,0,846,1.42,10.2,0.9,2.6,3,1.14
