Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1981,Yomiuri Giants,akamin000ken,Kenyu Akamine,23,0,0,NA,3.6,3,0,1,0,0,0,5,5,2,2,0,3,0,2,0,0,0,23,1.6,9,0,5.4,3.6,0.67
1981,Yomiuri Giants,asano-000kei,Keishi Asano,32,1,2,0.333,3.95,25,1,9,0,0,0,43.1,39,20,19,2,22,1,33,2,0,0,188,1.408,8.1,0.4,4.6,6.9,1.5
1981,Yomiuri Giants,egawa-000sug,Suguru Egawa,26,20,6,0.769,2.28,31,30,0,20,7,0,240.1,187,68,61,27,38,2,221,4,1,0,931,0.936,7,1,1.4,8.3,5.82
1981,Yomiuri Giants,fujish000kaz,Kazuaki Fujishiro,25,1,2,0.333,5.63,12,5,2,0,0,0,38.1,40,26,24,5,15,1,34,0,0,2,170,1.435,9.4,1.2,3.5,8,2.27
1981,Yomiuri Giants,horiuc000tsu,Tsuneo Horiuchi,33,1,3,0.25,4.5,9,4,4,0,0,0,22,27,16,11,3,1,0,11,0,0,1,92,1.273,11,1.2,0.4,4.5,11
1981,Yomiuri Giants,kato--000haj,Hajime Kato,31,12,6,0.667,2.91,30,18,5,6,0,2,158,133,54,51,20,63,7,97,3,1,2,652,1.241,7.6,1.1,3.6,5.5,1.54
1981,Yomiuri Giants,katori000yos,Yoshitaka Katori,24,1,0,1,2.39,22,0,8,0,0,0,37.2,25,12,10,3,11,2,22,3,0,0,148,0.956,6,0.7,2.6,5.3,2
1981,Yomiuri Giants,nishim000tak,Takashi Nishimoto,25,18,12,0.6,2.58,34,34,0,14,3,0,257.2,232,84,74,23,55,7,126,3,0,0,1020,1.114,8.1,0.8,1.9,4.4,2.29
1981,Yomiuri Giants,niura-000his,Hisao Niura*,30,0,5,0,3.39,14,8,5,2,0,0,58.1,55,32,22,8,19,3,44,1,0,1,248,1.269,8.5,1.2,2.9,6.8,2.32
1981,Yomiuri Giants,sadaok000sho,Shoji Sadaoka,24,11,7,0.611,3.71,31,30,0,5,3,0,196.2,185,85,81,25,59,5,122,5,0,1,817,1.241,8.5,1.1,2.7,5.6,2.07
1981,Yomiuri Giants,sumi--000mit,Mitsuo Sumi*,25,8,5,0.615,1.47,51,0,49,0,0,20,104.1,55,19,17,9,33,1,121,2,0,1,397,0.843,4.7,0.8,2.8,10.4,3.67
