Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1988,Hanshin Tigers,fukuma000osa,Osamu Fukuma*,26,0,0,NA,3.34,42,0,4,0,0,0,32.1,33,12,12,2,11,0,17,0,0,0,134,1.361,9.2,0.6,3.1,4.7,1.55
1988,Hanshin Tigers,fukuya000mas,Masaaki Fukuya,29,0,0,NA,0,1,0,1,0,0,0,2,0,1,0,0,4,0,3,0,0,0,9,2,0,0,18,13.5,0.75
1988,Hanshin Tigers,hamada000tom,Tomoaki Hamada,27,0,0,NA,8.1,7,0,1,0,0,0,6.2,10,6,6,2,2,0,6,0,0,2,31,1.8,13.5,2.7,2.7,8.1,3
1988,Hanshin Tigers,ikeda-000chi,Chikafusa Ikeda,29,7,10,0.412,4.01,28,24,2,6,1,0,139,152,71,62,16,61,2,71,3,2,3,615,1.532,9.8,1,3.9,4.6,1.16
1988,Hanshin Tigers,itoh--001fum,Fumitaka Ito,34,2,0,1,0.64,6,4,0,2,2,0,28.1,15,2,2,0,17,1,17,1,0,1,116,1.129,4.8,0,5.4,5.4,1
1988,Hanshin Tigers,keough001mat,Matt Keough,32,12,12,0.5,2.76,28,26,0,7,1,0,179.2,174,65,55,16,37,0,97,8,0,4,742,1.174,8.7,0.8,1.9,4.9,2.62
1988,Hanshin Tigers,kubo--002yas,Yasuo Kubo,30,4,2,0.667,4.08,23,9,4,2,1,0,68.1,74,31,31,9,25,0,36,2,0,1,295,1.449,9.7,1.2,3.3,4.7,1.44
1988,Hanshin Tigers,kudo--000kaz,Kazuhiko Kudo,32,0,1,0,4.67,12,0,2,0,0,0,17.1,21,9,9,2,4,0,10,0,0,0,74,1.442,10.9,1,2.1,5.2,2.5
1988,Hanshin Tigers,mikosh000sus,Susumu Mikoshiba,24,3,6,0.333,3.06,33,11,6,1,0,0,94,85,36,32,9,28,5,47,0,0,0,385,1.202,8.1,0.9,2.7,4.5,1.68
1988,Hanshin Tigers,nakada000koj,Koji Nakada*,24,6,9,0.4,3.88,29,17,5,6,1,1,130,106,58,56,20,71,3,103,2,0,5,557,1.362,7.3,1.4,4.9,7.1,1.45
1988,Hanshin Tigers,nakada000yos,Yoshihiro Nakada,29,0,1,0,17.42,11,1,2,0,0,0,10.1,24,21,20,3,5,0,10,2,0,0,62,2.806,20.9,2.6,4.4,8.7,2
1988,Hanshin Tigers,nakani000kiy,Kiyooki Nakanishi,26,8,9,0.471,4.45,46,2,37,1,0,15,91,91,49,45,10,26,3,54,6,0,3,391,1.286,9,1,2.6,5.3,2.08
1988,Hanshin Tigers,noda--001koj,Koji Noda,20,3,13,0.188,3.98,42,17,9,1,0,0,138,136,67,61,19,44,5,69,7,1,2,577,1.304,8.9,1.2,2.9,4.5,1.57
1988,Hanshin Tigers,okabe-000nor,Noriaki Okabe,30,3,2,0.6,4.08,44,3,9,1,0,0,68.1,67,31,31,7,17,1,52,2,0,1,280,1.229,8.8,0.9,2.2,6.8,3.06
1988,Hanshin Tigers,sato--000hid,Hideaki Sato*,28,0,0,NA,13.5,4,0,0,0,0,0,0.2,3,1,1,0,1,0,1,0,0,0,6,6,40.5,0,13.5,13.5,1
1988,Hanshin Tigers,shimao000yas,Yasuhito Shimao,20,1,0,1,3.23,12,4,6,0,0,0,30.2,33,12,11,2,9,1,16,2,0,1,132,1.37,9.7,0.6,2.6,4.7,1.78
1988,Hanshin Tigers,taki--000ats,Atsushi Taki?,20,0,0,NA,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
1988,Hanshin Tigers,toyama001sho,Shoji Toyama*,20,2,9,0.182,3.84,42,8,11,0,0,0,79.2,81,36,34,6,34,3,48,0,0,2,339,1.444,9.2,0.7,3.8,5.4,1.41
1988,Hanshin Tigers,yamamo004kaz,Kazuyuki Yamamoto*,39,0,3,0,6.46,22,4,4,0,0,0,23.2,33,17,17,5,12,2,10,0,0,1,115,1.901,12.5,1.9,4.6,3.8,0.83
