Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1992,Hiroshima Toyo Carp,adachi001wat,Wataru Adachi,24,1,2,0.333,5.51,4,4,0,0,0,0,16.1,13,11,10,0,15,0,12,1,0,2,77,1.714,7.2,0,8.3,6.6,0.8
1992,Hiroshima Toyo Carp,akimur000nor,Norihiro Akimura,26,1,2,0.333,3.77,39,1,20,0,0,1,57.1,52,27,24,5,18,1,59,2,0,3,240,1.221,8.2,0.8,2.8,9.3,3.28
1992,Hiroshima Toyo Carp,ishinu000hir,Hiromi Ishinuki*,23,0,2,0,5.2,32,1,4,0,0,0,27.2,34,17,16,3,15,1,17,2,0,1,131,1.771,11.1,1,4.9,5.5,1.13
1992,Hiroshima Toyo Carp,katase000kiy,Kiyotoshi Katase,28,7,6,0.538,3.55,38,14,10,2,1,1,114,109,52,45,13,44,1,68,4,0,4,482,1.342,8.6,1,3.5,5.4,1.55
1992,Hiroshima Toyo Carp,kawaba000jun,Jun Kawabata,32,3,6,0.333,4.84,26,8,9,0,0,1,70.2,80,42,38,7,27,2,39,1,0,1,313,1.514,10.2,0.9,3.4,5,1.44
1992,Hiroshima Toyo Carp,kawagu000kaz,Kazuhisa Kawaguchi*,32,8,12,0.4,3.34,26,26,0,9,2,0,183,168,79,68,18,65,0,156,2,0,5,766,1.273,8.3,0.9,3.2,7.7,2.4
1992,Hiroshima Toyo Carp,kitabe000man,Manabu Kitabeppu,34,14,8,0.636,2.58,26,26,0,4,1,0,181.1,179,61,52,15,28,1,101,2,0,1,735,1.142,8.9,0.7,1.4,5,3.61
1992,Hiroshima Toyo Carp,kitoh-001mak,Makoto Kito,27,0,0,NA,4.55,21,0,5,0,0,1,27.2,28,14,14,2,16,2,27,1,0,1,123,1.59,9.1,0.7,5.2,8.8,1.69
1992,Hiroshima Toyo Carp,kondo-000yos,Yoshihisa Kondo,26,0,0,NA,4.43,15,0,2,0,0,0,22.1,18,12,11,3,9,2,16,1,0,1,94,1.209,7.3,1.2,3.6,6.4,1.78
1992,Hiroshima Toyo Carp,motodu000haj,Hajime Mochizuki,24,4,5,0.444,3.72,41,3,14,0,0,2,87,87,37,36,11,35,7,56,2,0,3,375,1.402,9,1.1,3.6,5.8,1.6
1992,Hiroshima Toyo Carp,nagado001hir,Hiroshi Nagatomi,31,11,10,0.524,4.56,33,20,5,2,1,0,140,154,74,71,15,57,3,100,4,1,5,617,1.507,9.9,1,3.7,6.4,1.75
1992,Hiroshima Toyo Carp,ono---000yut,Yutaka Ono*,36,5,3,0.625,1.98,42,0,36,0,0,26,59,39,15,13,5,25,3,77,0,0,2,236,1.085,5.9,0.8,3.8,11.7,3.08
1992,Hiroshima Toyo Carp,sasaok001shi,Shinji Sasaoka,24,12,8,0.6,3.38,29,27,0,7,1,0,197,186,87,74,14,60,5,161,4,1,8,815,1.249,8.5,0.6,2.7,7.4,2.68
1992,Hiroshima Toyo Carp,takaya001iku,Ikuo Takayama,29,0,0,NA,10.8,3,0,1,0,0,0,1.2,2,2,2,0,2,0,1,0,0,0,9,2.4,10.8,0,10.8,5.4,0.5
1992,Hiroshima Toyo Carp,tsuno-000hir,Hiroshi Tsuno,26,0,0,NA,13.5,1,0,0,0,0,0,0.2,1,2,1,0,4,0,0,0,0,0,6,7.5,13.5,0,54,0,0
