Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1993,Orix Blue Wave,furumi000kat,Katsuyuki Furumizo*,29,1,0,1,0,1,1,0,0,0,0,7,5,0,0,0,2,0,4,0,0,0,27,1,6.4,0,2.6,5.1,2
1993,Orix Blue Wave,hasega001shi,Shigetoshi Hasegawa,24,12,6,0.667,2.71,23,22,1,9,3,0,159.2,146,61,48,12,48,1,86,1,0,3,660,1.215,8.2,0.7,2.7,4.8,1.79
1993,Orix Blue Wave,hoshin001nob,Nobuyuki Hoshino*,27,10,12,0.455,3.35,25,24,0,13,2,0,185.1,172,73,69,10,52,2,153,3,0,5,760,1.209,8.4,0.5,2.5,7.4,2.94
1993,Orix Blue Wave,itoh--001ats,Atsunori Ito,30,3,4,0.429,5.17,9,9,0,1,0,0,54,63,31,31,4,22,0,25,0,0,0,242,1.574,10.5,0.7,3.7,4.2,1.14
1993,Orix Blue Wave,itoh--002tak,Takahide Ito,29,1,3,0.25,2.31,33,0,31,0,0,16,50.2,41,16,13,3,18,1,50,1,0,3,210,1.164,7.3,0.5,3.2,8.9,2.78
1993,Orix Blue Wave,kaneda001mas,Masahiko Kaneda*,24,2,2,0.5,5.26,28,1,8,0,0,1,53,57,33,31,3,34,0,41,0,0,4,242,1.717,9.7,0.5,5.8,7,1.21
1993,Orix Blue Wave,kawaba001yas,Yasuhiro Kawabata,26,2,4,0.333,2.88,28,0,14,0,0,2,50,50,19,16,4,17,0,36,2,0,2,209,1.34,9,0.7,3.1,6.5,2.12
1993,Orix Blue Wave,kobaya002hir,Hiroshi Kobayashi,22,1,1,0.5,3.97,9,1,3,0,0,0,22.2,34,11,10,1,5,0,19,0,0,1,104,1.721,13.5,0.4,2,7.5,3.8
1993,Orix Blue Wave,kohama000yui,Yuichi Kohama,25,0,0,NA,15,2,0,1,0,0,0,3,8,5,5,0,1,0,4,0,0,0,17,3,24,0,3,12,4
1993,Orix Blue Wave,makino001rui,Rui Makino,18,0,2,0,6,3,2,0,0,0,0,12,11,10,8,2,9,0,12,0,0,0,55,1.667,8.3,1.5,6.8,9,1.33
1993,Orix Blue Wave,nishim000tak,Takashi Nishimoto,37,5,5,0.5,4.41,13,12,1,1,0,0,65.1,83,39,32,2,14,1,39,2,1,0,284,1.485,11.4,0.3,1.9,5.4,2.79
1993,Orix Blue Wave,noda--001koj,Koji Noda,25,17,5,0.773,2.56,26,26,0,17,4,0,225,187,68,64,23,62,0,209,1,0,4,901,1.107,7.5,0.9,2.5,8.4,3.37
1993,Orix Blue Wave,nomura001tak,Takahito Nomura*,24,3,3,0.5,1.53,36,0,21,0,0,8,70.2,49,14,12,1,12,0,83,1,0,2,272,0.863,6.2,0.1,1.5,10.6,6.92
1993,Orix Blue Wave,sakai-000tsu,Tsutomu Sakai,30,3,0,1,4.61,8,6,1,1,1,0,41,41,21,21,5,23,0,24,0,0,0,185,1.561,9,1.1,5,5.3,1.04
1993,Orix Blue Wave,sato--003yos,Yoshinori Sato,38,9,8,0.529,3.55,21,21,0,6,2,0,142,123,62,56,10,55,0,99,2,0,3,597,1.254,7.8,0.6,3.5,6.3,1.8
1993,Orix Blue Wave,yamaok000yuk,Yukihiko Yamaoki,33,1,1,0.5,1.88,5,5,0,0,0,0,28.2,23,7,6,1,8,0,14,0,1,0,114,1.081,7.2,0.3,2.5,4.4,1.75
1993,Orix Blue Wave,yamauc000yos,Yoshihiro Yamauchi,27,0,0,NA,2.08,2,0,1,0,0,0,4.1,1,1,1,1,1,0,1,0,0,0,14,0.462,2.1,2.1,2.1,2.1,1
