Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1995,Nippon Ham Fighters,atsuza001kaz,Kazuyuki Atsuzawa*,22,0,1,0,6.35,7,1,2,0,0,0,11.1,8,8,8,1,8,1,11,0,0,1,50,1.412,6.4,0.8,6.4,8.7,1.38
1995,Nippon Ham Fighters,funaya000yas,Yasushi Funayama,27,0,0,NA,0,1,0,0,0,0,0,0.1,0,0,0,0,1,0,0,0,0,0,2,3,0,0,27,0,0
1995,Nippon Ham Fighters,gross-001kip,Kip Gross,30,16,13,0.552,3.04,31,31,0,15,5,0,231,219,92,78,12,59,2,114,12,0,3,952,1.203,8.5,0.5,2.3,4.4,1.93
1995,Nippon Ham Fighters,imazek001mas,Masaru Imazeki,24,3,6,0.333,4.53,30,12,6,0,0,0,95.1,89,52,48,11,45,0,87,8,0,7,419,1.406,8.4,1,4.2,8.2,1.93
1995,Nippon Ham Fighters,iwamot001tsu,Tsutomu Iwamoto,24,5,7,0.417,3.07,29,12,8,3,0,0,132,106,52,45,15,46,2,113,1,1,4,536,1.152,7.2,1,3.1,7.7,2.46
1995,Nippon Ham Fighters,kaneis000aki,Akihito Kaneishi,34,2,3,0.4,2.02,32,0,32,0,0,25,35.2,30,10,8,2,15,3,21,1,0,1,150,1.262,7.6,0.5,3.8,5.3,1.4
1995,Nippon Ham Fighters,kanemu001sat,Satoru Kanemura,19,0,0,NA,20.25,1,0,0,0,0,0,1.1,3,3,3,0,2,0,1,0,0,0,8,3.75,20.3,0,13.5,6.8,0.5
1995,Nippon Ham Fighters,kohno-001hir,Hirofumi Kono*,33,6,8,0.429,4.73,27,26,0,3,0,0,140.2,129,76,74,26,64,0,95,3,1,3,598,1.372,8.3,1.7,4.1,6.1,1.48
1995,Nippon Ham Fighters,matsud001shi,Shinji Matsuda*,27,2,0,1,3.18,17,0,2,0,0,0,11.1,10,4,4,0,5,0,9,0,0,3,47,1.324,7.9,0,4,7.1,1.8
1995,Nippon Ham Fighters,nagado001hir,Hiroshi Nagatomi,34,7,7,0.5,2.62,44,0,19,0,0,2,75.2,71,26,22,2,37,11,49,6,0,5,328,1.427,8.4,0.2,4.4,5.8,1.32
1995,Nippon Ham Fighters,nishim000mot,Motofumi Nishimura*,32,0,0,NA,3.21,30,0,10,0,0,0,28,32,12,10,3,15,2,24,3,0,1,130,1.679,10.3,1,4.8,7.7,1.6
1995,Nippon Ham Fighters,nishiz001yuk,Yukihiro Nishizaki,31,7,8,0.467,3.61,27,27,0,3,1,0,177,140,74,71,14,102,2,146,5,0,4,742,1.367,7.1,0.7,5.2,7.4,1.43
1995,Nippon Ham Fighters,sakura001yuk,Yukihiro Sakurai,19,0,0,NA,3.38,1,1,0,0,0,0,2.2,2,1,1,0,1,0,2,0,0,0,11,1.125,6.8,0,3.4,6.8,2
1995,Nippon Ham Fighters,shibak001hir,Hiroshi Shibakusa,25,1,4,0.2,4.79,17,5,5,0,0,1,47,50,25,25,6,26,0,30,1,0,1,204,1.617,9.6,1.1,5,5.7,1.15
1995,Nippon Ham Fighters,shimaz001tak,Takeshi Shimazaki,28,9,7,0.563,2,51,0,18,0,0,3,94.1,77,23,21,2,35,4,83,5,0,0,392,1.187,7.3,0.2,3.3,7.9,2.37
1995,Nippon Ham Fighters,shirai000yas,Yasukatsu Shirai,26,0,3,0,5.15,14,9,2,0,0,0,50.2,52,29,29,5,36,1,28,0,0,3,227,1.737,9.2,0.9,6.4,5,0.78
1995,Nippon Ham Fighters,tabuki000aki,Akihiro Tabuki,24,0,0,NA,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,4.5,NA
1995,Nippon Ham Fighters,takeda001kaz,Kazuhiro Takeda,30,0,0,NA,5.06,2,1,0,0,0,0,5.1,8,3,3,0,1,0,4,0,0,0,24,1.688,13.5,0,1.7,6.8,4
1995,Nippon Ham Fighters,yamaha001kaz,Kazutoshi Yamahara,24,1,1,0.5,4.13,7,5,1,0,0,0,24,22,13,11,1,11,0,13,0,0,1,102,1.375,8.3,0.4,4.1,4.9,1.18
