Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2001,Osaka Kintetsu Buffaloes,aikyoh001his,Hisashi Aikyo,24,2,0,1,1.67,30,0,6,0,0,0,32.1,27,6,6,2,11,0,15,1,0,0,130,1.175,7.5,0.6,3.1,4.2,1.36
2001,Osaka Kintetsu Buffaloes,akahor001mot,Motoyuki Akahori,31,1,3,0.25,5.36,9,8,0,0,0,0,48.2,61,31,29,6,18,1,27,0,0,1,223,1.623,11.3,1.1,3.3,5,1.5
2001,Osaka Kintetsu Buffaloes,bergma001sea,Sean Bergman,31,10,4,0.714,4.18,18,18,0,2,0,0,107.2,117,53,50,11,28,2,59,2,0,3,460,1.347,9.8,0.9,2.3,4.9,2.11
2001,Osaka Kintetsu Buffaloes,elvira001nar,Narciso Elvira*,33,1,1,0.5,5.47,6,6,0,0,0,0,24.2,27,16,15,5,11,0,16,0,0,0,111,1.541,9.9,1.8,4,5.8,1.45
2001,Osaka Kintetsu Buffaloes,flynt-001wil,Bill Flynt*,33,0,0,NA,27,1,0,0,0,0,0,0.1,2,1,1,0,1,1,0,0,0,0,4,9,54,0,27,0,0
2001,Osaka Kintetsu Buffaloes,fujisa001hir,Hironori Fujisaki,21,0,0,NA,6.14,7,0,3,0,0,0,14.2,20,10,10,0,6,0,7,2,0,0,70,1.773,12.3,0,3.7,4.3,1.17
2001,Osaka Kintetsu Buffaloes,ishige001hir,Hiroshi Ishige,30,3,1,0.75,5.04,25,0,11,0,0,2,30.1,27,17,17,8,13,0,28,1,0,0,129,1.319,8,2.4,3.9,8.3,2.15
2001,Osaka Kintetsu Buffaloes,iwakum001his,Hisashi Iwakuma,20,4,2,0.667,4.53,9,8,0,1,1,0,43.2,46,28,22,3,13,0,25,3,0,1,192,1.351,9.5,0.6,2.7,5.2,1.92
2001,Osaka Kintetsu Buffaloes,kadoku001ken,Ken Kadokura,27,8,5,0.615,6.49,32,21,2,0,0,0,123.1,136,92,89,27,51,1,122,0,0,4,552,1.516,9.9,2,3.7,8.9,2.39
2001,Osaka Kintetsu Buffaloes,katoh-001hir,Hiroto Kato*,32,1,1,0.5,8.44,12,0,2,0,0,0,5.1,13,6,5,1,6,0,3,1,0,0,34,3.563,21.9,1.7,10.1,5.1,0.5
2001,Osaka Kintetsu Buffaloes,kohda-001isa,Isao Koda,36,2,3,0.4,3.97,36,0,13,0,0,1,47.2,41,24,21,10,7,0,24,1,0,0,188,1.007,7.7,1.9,1.3,4.5,3.43
2001,Osaka Kintetsu Buffaloes,koike-001tak,Takuichi Koike,30,0,0,NA,8.59,4,0,0,0,0,0,7.1,11,8,7,3,4,0,7,1,0,1,37,2.045,13.5,3.7,4.9,8.6,1.75
2001,Osaka Kintetsu Buffaloes,maekaw001kat,Kat Maekawa*,22,12,9,0.571,5.89,28,24,1,5,0,0,140.2,140,95,92,19,85,0,84,14,0,13,633,1.6,9,1.2,5.4,5.4,0.99
2001,Osaka Kintetsu Buffaloes,maki--001mas,Masaki Maki*,25,0,0,NA,4.91,3,0,2,0,0,0,3.2,2,2,2,0,3,0,0,0,0,0,16,1.364,4.9,0,7.4,0,0
2001,Osaka Kintetsu Buffaloes,matsum003tak,Takuya Matsumoto,21,0,0,NA,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,0,0,9,0,0
2001,Osaka Kintetsu Buffaloes,misawa001koi,Koishi Misawa,27,7,0,1,4.01,21,0,1,0,0,0,33.2,31,17,15,4,9,0,25,0,0,0,143,1.188,8.3,1.1,2.4,6.7,2.78
2001,Osaka Kintetsu Buffaloes,miyamo001dai,Daisuke Miyamoto,19,0,0,NA,9,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,4,1,9,9,0,0,NA
2001,Osaka Kintetsu Buffaloes,morita001kok,Koki Morita,31,2,0,1,7.06,34,0,6,0,0,0,21.2,25,18,17,3,11,1,14,5,1,0,104,1.662,10.4,1.2,4.6,5.8,1.27
2001,Osaka Kintetsu Buffaloes,nara--001mas,Masashi Nara,24,0,0,NA,6,2,0,2,0,0,0,3,3,2,2,1,1,0,2,0,0,0,12,1.333,9,3,3,6,2
2001,Osaka Kintetsu Buffaloes,okamot001aki,Akira Okamoto,28,4,4,0.5,2.73,61,1,18,0,0,8,102.1,86,33,31,8,33,6,73,3,0,3,423,1.163,7.6,0.7,2.9,6.4,2.21
2001,Osaka Kintetsu Buffaloes,otsuka001aki,Akinori Otsuka,29,2,5,0.286,4.02,48,0,43,0,0,26,56,42,25,25,7,15,2,82,0,1,5,228,1.018,6.8,1.1,2.4,13.2,5.47
2001,Osaka Kintetsu Buffaloes,powell001jer,Jeremy Powell,25,4,5,0.444,4.95,14,14,0,0,0,0,80,84,51,44,10,40,0,52,6,1,0,365,1.55,9.5,1.1,4.5,5.9,1.3
2001,Osaka Kintetsu Buffaloes,sekigu001ior,Iori Sekiguchi*,29,0,1,0,4.33,53,0,5,0,0,0,35.1,37,19,17,3,25,2,29,0,0,4,166,1.755,9.4,0.8,6.4,7.4,1.16
2001,Osaka Kintetsu Buffaloes,shibat001kaz,Kazuya Shibata*,33,0,0,NA,4.35,42,0,3,0,0,1,20.2,23,10,10,5,4,1,11,0,0,0,86,1.306,10,2.2,1.7,4.8,2.75
2001,Osaka Kintetsu Buffaloes,takagi001yas,Yasunari Takagi*,19,1,0,1,14.21,5,1,2,0,0,0,6.1,12,10,10,1,4,0,6,0,0,1,35,2.526,17.1,1.4,5.7,8.5,1.5
2001,Osaka Kintetsu Buffaloes,takamu001hir,Hiroshi Takamura,31,5,9,0.357,4.92,21,21,0,2,0,0,93.1,107,58,51,18,50,2,68,4,0,6,431,1.682,10.3,1.7,4.8,6.6,1.36
2001,Osaka Kintetsu Buffaloes,udaka-001shi,Shinji Udaka,24,0,0,NA,0.79,11,0,2,0,0,0,11.1,8,4,1,0,6,0,5,1,0,0,48,1.235,6.4,0,4.8,4,0.83
2001,Osaka Kintetsu Buffaloes,yamamo001sho,Shogo Yamamoto*,23,0,0,NA,17.47,7,0,0,0,0,0,5.2,12,11,11,4,3,0,8,1,0,0,32,2.647,19.1,6.4,4.8,12.7,2.67
