Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2002,Yakult Swallows,ebisu-001nob,Nobuyuki Ebisu,30,0,1,0,4.15,1,1,0,0,0,0,4.1,4,3,2,0,3,0,2,0,0,0,19,1.615,8.3,0,6.2,4.2,0.67
2002,Yakult Swallows,fujii-001shu,Shugo Fujii*,25,10,9,0.526,3.08,28,28,0,5,1,0,195.2,167,72,67,25,44,1,171,5,0,6,789,1.078,7.7,1.1,2,7.9,3.89
2002,Yakult Swallows,hagiwa001tak,Takahiko Hagiwara,26,0,2,0,5.02,8,2,2,0,0,0,14.1,20,10,8,2,1,0,12,0,0,1,63,1.465,12.6,1.3,0.6,7.5,12
2002,Yakult Swallows,hanada001mas,Masato Hanada,24,1,0,1,3.93,22,1,9,0,0,0,34.1,30,15,15,7,14,1,36,0,0,0,145,1.282,7.9,1.8,3.7,9.4,2.57
2002,Yakult Swallows,hodges001kev,Kevin Hodges,29,17,8,0.68,3.41,32,32,0,0,0,0,200.2,183,82,76,15,67,2,132,17,2,6,848,1.246,8.2,0.7,3,5.9,1.97
2002,Yakult Swallows,honma-001tad,Tadashi Honma,24,0,1,0,8.31,3,0,0,0,0,0,4.1,5,4,4,0,3,0,3,0,0,1,20,1.846,10.4,0,6.2,6.2,1
2002,Yakult Swallows,igaras001ryo,Ryota Igarashi,23,8,2,0.8,2.08,64,0,21,0,0,4,78,49,19,18,8,18,2,97,3,0,8,300,0.859,5.7,0.9,2.1,11.2,5.39
2002,Yakult Swallows,iriki-001sat,Satoshi Iriki,35,1,3,0.25,6.66,6,5,0,0,0,0,25.2,33,19,19,6,6,0,11,1,0,1,117,1.519,11.6,2.1,2.1,3.9,1.83
2002,Yakult Swallows,ishii-001hir,Hirotoshi Ishii*,24,6,2,0.75,1.51,69,0,20,0,0,5,89.2,63,15,15,7,12,2,109,1,0,3,341,0.836,6.3,0.7,1.2,10.9,9.08
2002,Yakult Swallows,ishika001mas,Masanori Ishikawa*,22,12,9,0.571,3.33,29,28,0,2,0,0,178.1,183,76,66,20,29,2,104,2,3,5,735,1.189,9.2,1,1.5,5.2,3.59
2002,Yakult Swallows,kamada001yuy,Yuya Kamada,23,3,2,0.6,3.78,11,9,1,0,0,0,50,46,22,21,4,14,0,31,2,0,6,212,1.2,8.3,0.7,2.5,5.6,2.21
2002,Yakult Swallows,kawaba001ryu,Ryu Kawabata,25,3,3,0.5,2.7,43,0,8,0,0,0,46.2,46,15,14,3,13,4,41,2,0,2,197,1.264,8.9,0.6,2.5,7.9,3.15
2002,Yakult Swallows,maeda-001hir,Hirotsugu Maeda*,26,3,1,0.75,4.18,16,3,3,0,0,0,32.1,38,16,15,5,8,0,27,0,0,3,139,1.423,10.6,1.4,2.2,7.5,3.38
2002,Yakult Swallows,matsud001shi,Shinji Matsuda*,34,0,2,0,2.35,17,0,3,0,0,0,15.1,15,6,4,0,6,1,9,0,0,0,68,1.37,8.8,0,3.5,5.3,1.5
2002,Yakult Swallows,newman001ala,Alan Newman*,32,2,3,0.4,3.52,42,4,7,0,0,0,71.2,55,33,28,5,30,0,58,0,3,8,298,1.186,6.9,0.6,3.8,7.3,1.93
2002,Yakult Swallows,sakamo001yat,Yataro Sakamoto,20,3,9,0.25,3.68,29,18,5,1,1,0,107.2,93,49,44,14,28,1,100,6,0,4,444,1.124,7.8,1.2,2.3,8.4,3.57
2002,Yakult Swallows,shimad001nao,Naoya Shimada,32,0,0,NA,10.13,4,0,1,0,0,0,2.2,4,3,3,0,1,0,2,0,0,0,13,1.875,13.5,0,3.4,6.8,2
2002,Yakult Swallows,takats001shi,Shingo Takatsu,33,0,2,0,3.89,44,0,39,0,0,32,41.2,37,19,18,6,11,1,28,3,0,1,174,1.152,8,1.3,2.4,6,2.55
2002,Yakult Swallows,teramu001tom,Tomokazu Teramura,28,0,0,NA,4.3,17,0,7,0,0,0,23,23,14,11,4,8,0,25,1,0,1,102,1.348,9,1.6,3.1,9.8,3.13
2002,Yakult Swallows,yamabe001fut,Futoshi Yamabe*,31,5,3,0.625,5.53,10,9,0,0,0,0,40.2,51,29,25,9,9,0,29,3,0,0,178,1.475,11.3,2,2,6.4,3.22
2002,Yakult Swallows,yamamo001tat,Tatsuki Yamamoto*,31,0,0,NA,5.23,11,0,6,0,0,0,10.1,13,7,6,2,2,0,8,1,1,0,46,1.452,11.3,1.7,1.7,7,4
