Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2004,Fukuoka Daiei Hawks,arakak001nag,Nagisa Arakaki,24,11,8,0.579,3.28,25,25,0,9,2,0,192.1,173,75,70,14,73,0,177,11,0,8,807,1.279,8.1,0.7,3.4,8.3,2.42
2004,Fukuoka Daiei Hawks,gulin-001lin,Lindsay Gulin*,27,8,3,0.727,4.24,17,17,0,0,0,0,99.2,126,49,47,11,35,1,69,4,3,2,446,1.615,11.4,1,3.2,6.2,1.97
2004,Fukuoka Daiei Hawks,hoshin001jun,Junji Hoshino,30,7,8,0.467,4.64,21,18,0,0,0,0,120.1,112,65,62,20,31,2,66,10,0,1,500,1.188,8.4,1.5,2.3,4.9,2.13
2004,Fukuoka Daiei Hawks,kamiuc001yas,Yasushi Kamiuchi*,20,0,1,0,5.84,12,3,5,0,0,0,24.2,26,16,16,5,11,0,23,0,0,1,111,1.5,9.5,1.8,4,8.4,2.09
2004,Fukuoka Daiei Hawks,kawano001mas,Masato Kawano,26,0,1,0,8.71,10,0,4,0,0,1,10.1,15,10,10,0,5,1,6,1,0,0,50,1.935,13.1,0,4.4,5.2,1.2
2004,Fukuoka Daiei Hawks,knight001bra,Brandon Knight,28,0,0,NA,12,6,0,5,0,0,0,6,11,10,8,0,6,0,5,1,0,2,36,2.833,16.5,0,9,7.5,0.83
2004,Fukuoka Daiei Hawks,kurano001shi,Shinji Kurano,29,9,1,0.9,2.55,37,9,8,0,0,0,88.1,88,32,25,6,27,1,37,5,0,0,371,1.302,9,0.6,2.8,3.8,1.37
2004,Fukuoka Daiei Hawks,mahara001tak,Takahiro Mahara,22,3,3,0.5,6.3,11,8,1,0,0,0,50,66,36,35,7,22,0,37,4,0,2,238,1.76,11.9,1.3,4,6.7,1.68
2004,Fukuoka Daiei Hawks,matsu-001nob,Nobuyasu Matsu*,27,0,1,0,4.82,40,0,3,0,0,0,28,34,16,15,3,11,1,18,3,0,0,129,1.607,10.9,1,3.5,5.8,1.64
2004,Fukuoka Daiei Hawks,matsum001aki,Akira Matsumoto,26,0,0,NA,3.68,4,0,1,0,0,0,7.1,9,3,3,0,3,0,5,0,0,0,34,1.636,11,0,3.7,6.1,1.67
2004,Fukuoka Daiei Hawks,mercad001hec,Héctor Mercado*,30,0,0,NA,Inf,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,2,NA,NA,NA,NA,NA,0
2004,Fukuoka Daiei Hawks,mise--001koj,Koji Mise*,28,4,3,0.571,3.06,55,0,40,0,0,28,67.2,47,28,23,6,19,2,71,9,0,3,279,0.975,6.3,0.8,2.5,9.4,3.74
2004,Fukuoka Daiei Hawks,mizuta001aki,Akio Mizuta,30,3,3,0.5,4.82,14,0,10,0,0,3,18.2,28,12,10,1,11,1,10,0,0,1,92,2.089,13.5,0.5,5.3,4.8,0.91
2004,Fukuoka Daiei Hawks,okamot001kat,Katsunori Okamoto,31,0,0,NA,4.7,7,0,5,0,0,0,7.2,7,4,4,1,3,0,7,0,0,0,31,1.304,8.2,1.2,3.5,8.2,2.33
2004,Fukuoka Daiei Hawks,saitoh001kaz,Kazumi Saito,26,10,7,0.588,6.26,22,22,0,3,1,0,138,139,100,96,22,59,3,120,6,0,6,612,1.435,9.1,1.4,3.8,7.8,2.03
2004,Fukuoka Daiei Hawks,satoh-001mak,Makoto Sato,29,2,1,0.667,3.74,40,0,6,0,0,0,43.1,50,20,18,5,14,2,19,3,0,1,188,1.477,10.4,1,2.9,3.9,1.36
2004,Fukuoka Daiei Hawks,shibat001kaz,Kazuya Shibata*,36,0,0,NA,8.44,9,0,0,0,0,0,5.1,9,5,5,0,1,0,3,0,0,1,26,1.875,15.2,0,1.7,5.1,3
2004,Fukuoka Daiei Hawks,sugiuc001tos,Toshiya Sugiuchi*,23,2,3,0.4,6.9,10,9,0,0,0,0,45.2,56,36,35,8,27,1,51,2,0,2,216,1.818,11,1.6,5.3,10.1,1.89
2004,Fukuoka Daiei Hawks,takeok001kaz,Kazuhiro Takeoka,29,2,0,1,6.11,13,1,5,0,0,0,28,31,21,19,1,18,1,10,3,0,3,132,1.75,10,0.3,5.8,3.2,0.56
2004,Fukuoka Daiei Hawks,tanaka001soh,Soji Tanaka*,26,0,0,NA,0,2,0,2,0,0,0,2.1,2,0,0,0,1,0,2,0,0,1,10,1.286,7.7,0,3.9,7.7,2
