Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2005,Chiba Lotte Marines,fujita001soi,Soichi Fujita*,32,1,4,0.2,2.56,45,0,8,0,0,0,38.2,27,12,11,2,13,2,31,1,0,1,154,1.034,6.3,0.5,3,7.2,2.38
2005,Chiba Lotte Marines,kanda-001yos,Yoshihide Kanda,26,0,0,NA,5.68,6,0,3,0,0,0,6.1,7,4,4,2,3,0,2,0,0,0,27,1.579,9.9,2.8,4.3,2.8,0.67
2005,Chiba Lotte Marines,katoh-001kos,Kosuke Kato*,26,2,3,0.4,3.76,9,6,2,0,0,0,40.2,31,17,17,5,16,1,30,1,0,1,166,1.156,6.9,1.1,3.5,6.6,1.88
2005,Chiba Lotte Marines,kawai-001tak,Takashi Kawai*,28,0,0,NA,8.1,11,0,3,0,0,0,13.1,23,12,12,3,4,0,3,1,0,0,65,2.025,15.5,2,2.7,2,0.75
2005,Chiba Lotte Marines,kobaya001hir,Hiroyuki Kobayashi,27,12,6,0.667,3.3,23,23,0,4,1,0,160.2,157,60,59,14,28,1,129,6,0,6,666,1.151,8.8,0.8,1.6,7.2,4.61
2005,Chiba Lotte Marines,kobaya002mas,Masahide Kobayashi,31,2,2,0.5,2.58,46,0,43,0,0,29,45.1,49,14,13,6,9,1,33,1,0,0,186,1.279,9.7,1.2,1.8,6.6,3.67
2005,Chiba Lotte Marines,komiya001sat,Satoru Komiyama,39,0,0,NA,3.79,23,0,10,0,0,1,40.1,52,20,17,5,5,0,22,0,0,0,176,1.413,11.6,1.1,1.1,4.9,4.4
2005,Chiba Lotte Marines,kubo--001yas,Yasutomo Kubo,24,10,3,0.769,3.4,19,18,0,5,3,0,121.2,120,52,46,13,26,0,84,6,0,5,506,1.2,8.9,1,1.9,6.2,3.23
2005,Chiba Lotte Marines,kuroki001tom,Tomohiro Kuroki,31,2,1,0.667,4.58,3,3,0,0,0,0,17.2,21,9,9,3,3,0,9,2,0,1,78,1.358,10.7,1.5,1.5,4.6,3
2005,Chiba Lotte Marines,ono---001shi,Shingo Ono,30,10,4,0.714,2.81,24,17,0,2,0,0,112,106,39,35,9,18,0,55,5,0,1,452,1.107,8.5,0.7,1.4,4.4,3.06
2005,Chiba Lotte Marines,serafi001dan,Dan Serafini*,31,11,4,0.733,2.91,27,22,1,2,0,0,151.1,137,60,49,12,56,3,117,5,0,5,627,1.275,8.1,0.7,3.3,7,2.09
2005,Chiba Lotte Marines,shimiz001nao,Naoyuki Shimizu,29,10,11,0.476,3.83,23,23,0,7,1,0,164.1,170,77,70,27,37,1,99,5,0,4,687,1.26,9.3,1.5,2,5.4,2.68
2005,Chiba Lotte Marines,takagi001koj,Koji Takagi*,37,1,0,1,3.2,20,0,9,0,0,0,25.1,21,9,9,1,6,1,14,1,0,0,99,1.066,7.5,0.4,2.1,5,2.33
2005,Chiba Lotte Marines,tejima001sat,Satoshi Tejima,23,0,1,0,12,1,1,0,0,0,0,3,6,4,4,1,2,0,5,0,0,0,17,2.667,18,3,6,15,2.5
2005,Chiba Lotte Marines,watana001shu,Shunsuke Watanabe,28,15,4,0.789,2.17,23,23,0,8,3,0,187,152,48,45,14,27,1,101,4,0,0,722,0.957,7.3,0.7,1.3,4.9,3.74
2005,Chiba Lotte Marines,yabuta001yas,Yasuhiko Yabuta,32,7,4,0.636,3.07,51,0,15,0,0,2,55.2,42,20,19,7,13,1,54,2,0,1,220,0.988,6.8,1.1,2.1,8.7,4.15
2005,Chiba Lotte Marines,yamaki001shi,Shigetoshi Yamakita*,27,0,0,NA,7.36,7,0,2,0,0,0,7.1,7,6,6,2,5,0,8,1,1,0,35,1.636,8.6,2.5,6.1,9.8,1.6
2005,Chiba Lotte Marines,yamasa001ken,Ken Yamasaki,32,1,2,0.333,3.35,40,0,12,0,0,1,40.1,34,16,15,5,12,2,30,3,0,4,161,1.14,7.6,1.1,2.7,6.7,2.5
