Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2005,Orix Buffaloes,abe---001ken,Kenta Abe,20,0,0,NA,7.2,3,0,3,0,0,0,5,6,4,4,2,1,0,7,1,0,0,22,1.4,10.8,3.6,1.8,12.6,7
2005,Orix Buffaloes,aiki--001tak,Takashi Aiki,27,0,1,0,4.32,12,1,6,0,0,0,25,33,15,12,0,5,0,11,1,0,1,111,1.52,11.9,0,1.8,4,2.2
2005,Orix Buffaloes,beirne001kev,Kevin Beirne,31,4,13,0.235,4.69,22,20,1,0,0,0,109.1,117,63,57,10,47,0,70,5,1,6,485,1.5,9.6,0.8,3.9,5.8,1.49
2005,Orix Buffaloes,hagiwa001jun,Jun Hagiwara,31,3,2,0.6,3.89,49,5,12,0,0,1,81,66,41,35,13,34,0,73,3,0,3,334,1.235,7.3,1.4,3.8,8.1,2.15
2005,Orix Buffaloes,iwashi001shu,Shuichi Iwashita*,32,0,0,NA,NA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA
2005,Orix Buffaloes,katoh-001dai,Daisuke Kato,24,6,3,0.667,2.76,60,0,10,0,0,2,81.2,67,29,25,8,16,1,83,3,0,5,324,1.016,7.4,0.9,1.8,9.1,5.19
2005,Orix Buffaloes,katoh-001tat,Tatsuo Kato*,27,1,1,0.5,2.31,36,0,7,0,0,0,39,24,11,10,4,14,1,26,4,0,2,157,0.974,5.5,0.9,3.2,6,1.86
2005,Orix Buffaloes,katsuk001ryo,Ryota Katsuki,22,3,1,0.75,2.36,47,0,10,0,0,0,49.2,39,16,13,4,10,2,25,3,0,0,197,0.987,7.1,0.7,1.8,4.5,2.5
2005,Orix Buffaloes,kawago001hid,Hidetaka Kawagoe,32,6,8,0.429,3.66,24,22,0,3,1,0,132.2,142,64,54,17,25,0,89,4,0,3,557,1.259,9.6,1.2,1.7,6,3.56
2005,Orix Buffaloes,kikuch001tsu,Tsuyoshi Kikuchihara*,30,3,1,0.75,1.38,71,0,6,0,0,1,58.2,43,12,9,3,18,3,59,3,0,4,231,1.04,6.6,0.5,2.8,9.1,3.28
2005,Orix Buffaloes,kondoh001kaz,Kazuki Kondoh,21,0,0,NA,4.15,7,0,5,0,0,0,8.2,9,4,4,3,3,0,8,1,0,0,38,1.385,9.3,3.1,3.1,8.3,2.67
2005,Orix Buffaloes,mitsuh001ats,Atsuhiro Mitsuhara,24,7,4,0.636,5.12,17,16,1,1,1,0,89.2,112,59,51,11,33,0,49,5,0,0,412,1.617,11.2,1.1,3.3,4.9,1.48
2005,Orix Buffaloes,motoya001kaz,Kazuya Motoyanagi,28,0,1,0,1.4,12,3,6,0,0,1,25.2,20,4,4,3,2,0,14,0,0,0,95,0.857,7,1.1,0.7,4.9,7
2005,Orix Buffaloes,ohkubo001mas,Masanobu Okubo,28,2,2,0.5,1.6,39,0,34,0,0,22,39.1,30,8,7,1,9,2,40,1,0,2,154,0.992,6.9,0.2,2.1,9.2,4.44
2005,Orix Buffaloes,parra-002jos,José Parra,32,4,2,0.667,4.09,8,7,0,0,0,0,33,38,16,15,2,9,0,20,1,0,1,137,1.424,10.4,0.5,2.5,5.5,2.22
2005,Orix Buffaloes,powell001jer,Jeremy Powell,29,14,12,0.538,3.51,28,28,0,5,2,0,200,201,86,78,20,55,0,160,10,0,1,839,1.28,9,0.9,2.5,7.2,2.91
2005,Orix Buffaloes,stewar006jos,Josh Stewart*,26,0,4,0,8.1,7,7,0,0,0,0,33.1,46,30,30,9,14,0,14,0,0,0,154,1.8,12.4,2.4,3.8,3.8,1
2005,Orix Buffaloes,takagi001yas,Yasunari Takagi*,23,1,3,0.25,6.23,8,5,2,0,0,0,17.1,20,12,12,5,11,0,11,1,0,2,80,1.788,10.4,2.6,5.7,5.7,1
2005,Orix Buffaloes,tanaka001yuk,Yuki Tanaka,26,0,3,0,5.6,8,5,1,0,0,0,27.1,27,19,17,3,15,1,20,3,0,3,122,1.537,8.9,1,4.9,6.6,1.33
2005,Orix Buffaloes,yamagu001kaz,Kazuo Yamaguchi,31,0,0,NA,6.19,16,0,11,0,0,3,16,17,11,11,3,5,0,9,1,0,1,69,1.375,9.6,1.7,2.8,5.1,1.8
2005,Orix Buffaloes,yamamo001sho,Shogo Yamamoto*,27,2,0,1,6.04,22,2,5,0,0,0,28.1,39,19,19,5,9,0,21,0,0,1,131,1.694,12.4,1.6,2.9,6.7,2.33
2005,Orix Buffaloes,yoshii001mas,Masato Yoshii,40,6,5,0.545,4.03,15,15,0,0,0,0,73.2,80,35,33,10,9,0,33,1,0,0,303,1.208,9.8,1.2,1.1,4,3.67
2005,Orix Buffaloes,yoshik001kat,Katsunari Yoshikawa,28,0,4,0,4.81,29,0,7,0,0,1,39.1,54,29,21,0,13,1,13,3,0,0,181,1.703,12.4,0,3,3,1
