Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2006,Seibu Lions,azuma-001kaz,Kazumasa Azuma,24,1,0,1,6,5,0,0,0,0,0,9,12,6,6,2,1,0,3,0,0,1,37,1.444,12,2,1,3,3
2006,Seibu Lions,gissel001chr,Chris Gissell,28,6,4,0.6,3.96,18,18,0,2,0,0,109,112,53,48,10,30,0,85,4,1,3,469,1.303,9.2,0.8,2.5,7,2.83
2006,Seibu Lions,graman001ale,Alex Graman*,28,4,6,0.4,4.26,13,13,0,1,0,0,74,87,41,35,13,19,0,41,3,2,1,324,1.432,10.6,1.6,2.3,5,2.16
2006,Seibu Lions,hoashi001kaz,Kazuyuki Hoashi*,26,5,2,0.714,4.66,17,11,1,0,0,0,75.1,92,41,39,11,19,0,50,6,0,4,334,1.473,11,1.3,2.3,6,2.63
2006,Seibu Lions,hoshin001tom,Tomoki Hoshino*,28,1,3,0.25,3.93,58,0,14,0,0,1,36.2,21,17,16,4,16,2,39,2,0,1,149,1.009,5.2,1,3.9,9.6,2.44
2006,Seibu Lions,hsu---001min,Ming Chieh Hsu,29,1,4,0.2,5.48,19,3,4,0,0,0,42.2,46,28,26,8,17,2,26,2,0,4,190,1.477,9.7,1.7,3.6,5.5,1.53
2006,Seibu Lions,ishii-002tak,Takashi Ishii,34,4,1,0.8,3.49,46,0,6,0,0,0,38.2,39,17,15,4,8,1,22,0,0,2,164,1.216,9.1,0.9,1.9,5.1,2.75
2006,Seibu Lions,matsun001hir,Hironori Matsunaga*,22,3,4,0.429,4.21,11,9,0,1,0,0,51.1,47,29,24,8,19,0,46,4,0,1,221,1.286,8.2,1.4,3.3,8.1,2.42
2006,Seibu Lions,matsuz001dai,Daisuke Matsuzaka,25,17,5,0.773,2.13,25,25,0,13,2,0,186.1,138,50,44,13,34,0,200,3,0,5,722,0.923,6.7,0.6,1.6,9.7,5.88
2006,Seibu Lions,mitsui001koj,Koji Mitsui*,32,4,1,0.8,1.73,45,0,4,0,0,1,52,47,16,10,1,17,2,42,1,0,0,223,1.231,8.1,0.2,2.9,7.3,2.47
2006,Seibu Lions,miyako001aki,Akira Miyakoshi,28,1,3,0.25,5.3,12,5,1,0,0,0,37.1,40,24,22,5,15,1,22,1,0,1,163,1.473,9.6,1.2,3.6,5.3,1.47
2006,Seibu Lions,nishig001fum,Fumiya Nishiguchi,33,9,9,0.5,3.55,26,26,0,2,0,0,177.1,175,76,70,22,65,2,154,9,0,0,767,1.353,8.9,1.1,3.3,7.8,2.37
2006,Seibu Lions,okamot001ats,Atsushi Okamoto,25,0,0,NA,7.71,6,0,4,0,0,0,7,11,6,6,2,4,0,5,1,0,1,34,2.143,14.1,2.6,5.1,6.4,1.25
2006,Seibu Lions,ono---001goh,Go Ono,28,0,0,NA,0,1,0,1,0,0,0,3,2,0,0,0,3,0,2,0,0,0,13,1.667,6,0,9,6,0.67
2006,Seibu Lions,onoder001chi,Chikara Onodera,25,7,3,0.7,2.82,59,0,52,0,0,29,60.2,51,19,19,2,18,1,52,3,0,4,247,1.137,7.6,0.3,2.7,7.7,2.89
2006,Seibu Lions,ohnuma001koj,Koji Onuma,26,0,1,0,7.62,9,0,1,0,0,0,13,16,11,11,2,15,0,9,0,0,1,68,2.385,11.1,1.4,10.4,6.2,0.6
2006,Seibu Lions,osada-001shu,Shuichiro Osada,26,0,0,NA,10.8,4,0,2,0,0,0,3.1,6,4,4,3,0,0,3,1,0,0,17,1.8,16.2,8.1,0,8.1,NA
2006,Seibu Lions,shotsu001eij,Eiji Shotsu,33,3,0,1,5.84,23,0,7,0,0,0,24.2,29,16,16,3,16,0,18,3,0,1,116,1.824,10.6,1.1,5.8,6.6,1.13
2006,Seibu Lions,tazaki001mas,Masahiro Tazaki,31,0,0,NA,12.46,6,0,3,0,0,0,4.1,11,7,6,0,3,0,4,0,0,0,27,3.231,22.8,0,6.2,8.3,1.33
2006,Seibu Lions,wakui-001hid,Hideaki Wakui,20,12,8,0.6,3.24,26,26,0,8,1,0,178,161,79,64,16,53,0,136,8,1,7,734,1.202,8.1,0.8,2.7,6.9,2.57
2006,Seibu Lions,yamagi001min,Minoru Yamagishi,23,2,0,1,3.2,31,0,9,0,0,0,39.1,34,16,14,6,12,1,45,2,0,2,166,1.169,7.8,1.4,2.7,10.3,3.75
