Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2008,Fukuoka Softbank Hawks,arakak001nag,Nagisa Arakaki,28,4,6,0.4,4.18,15,15,NA,0,0,0,92.2,89,55,43,7,39,0,105,6,2,15,411,1.381,8.6,0.7,3.8,10.2,2.69
2008,Fukuoka Softbank Hawks,fujiok001yos,Yoshiaki Fujioka,23,0,0,NA,3.38,11,0,NA,0,0,0,8,7,4,3,0,1,0,4,1,0,0,31,1,7.9,0,1.1,4.5,4
2008,Fukuoka Softbank Hawks,guttor001ric,Rick Guttormson,31,5,7,0.417,4.05,18,15,NA,2,0,0,100,104,48,45,11,35,5,51,4,2,0,426,1.39,9.4,1,3.2,4.6,1.46
2008,Fukuoka Softbank Hawks,hoshin001jun,Junji Hoshino,34,0,1,0,9,3,2,NA,0,0,0,7,9,7,7,0,6,0,3,1,0,0,35,2.143,11.6,0,7.7,3.9,0.5
2008,Fukuoka Softbank Hawks,houlto001den,D.J. Houlton,28,4,7,0.364,4.27,28,11,NA,0,0,6,84.1,82,44,40,10,31,2,86,3,0,0,366,1.34,8.8,1.1,3.3,9.2,2.77
2008,Fukuoka Softbank Hawks,iwasak001sho,Sho Iwasaki,18,0,0,NA,9,1,1,NA,0,0,0,3,7,3,3,0,0,0,1,0,0,0,15,2.333,21,0,0,3,NA
2008,Fukuoka Softbank Hawks,kattoh001kei,Keisuke Katto,24,0,1,0,4.82,9,1,NA,0,0,0,18.2,22,10,10,3,11,0,11,0,0,1,88,1.768,10.6,1.4,5.3,5.3,1
2008,Fukuoka Softbank Hawks,kume--001yuk,Yuki Kume,22,4,1,0.8,3.25,40,0,NA,0,0,3,36,48,15,13,2,12,2,20,4,1,3,172,1.667,12,0.5,3,5,1.67
2008,Fukuoka Softbank Hawks,mahara001tak,Takahiro Mahara,26,0,2,0,2.79,21,0,NA,0,0,11,19.1,14,6,6,1,6,0,23,0,0,3,80,1.034,6.5,0.5,2.8,10.7,3.83
2008,Fukuoka Softbank Hawks,mise--001koj,Koji Mise*,32,2,1,0.667,4.11,44,0,NA,0,0,0,35,28,16,16,5,14,0,25,2,0,3,145,1.2,7.2,1.3,3.6,6.4,1.79
