Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2008,Tohoku Rakuten Golden Eagles,aoyama001koj,Kouji Aoyama,24,3,8,0.273,3.89,41,6,NA,0,0,4,78.2,86,39,34,8,26,0,61,4,0,3,348,1.424,9.8,0.9,3,7,2.35
2008,Tohoku Rakuten Golden Eagles,arame-001kan,Kanehisa Arime*,29,2,2,0.5,2.05,66,0,NA,0,0,2,44,33,10,10,2,17,4,45,3,0,1,179,1.136,6.8,0.4,3.5,9.2,2.65
2008,Tohoku Rakuten Golden Eagles,asai--001hid,Hideki Asai,24,9,11,0.45,4.38,29,23,NA,1,0,0,148,165,81,72,16,60,3,122,7,0,6,662,1.52,10,1,3.6,7.4,2.03
2008,Tohoku Rakuten Golden Eagles,guzman001dom,Domingo Guzmán,33,2,7,0.222,3.87,23,16,NA,1,1,0,102.1,99,47,44,6,34,2,65,7,2,5,441,1.3,8.7,0.5,3,5.7,1.91
2008,Tohoku Rakuten Golden Eagles,gwyn--001mar,Marcus Gwyn,30,1,1,0.5,3.86,19,0,NA,0,0,3,18.2,21,12,8,2,7,0,16,4,0,0,89,1.5,10.1,1,3.4,7.7,2.29
2008,Tohoku Rakuten Golden Eagles,hasebe001koh,Kohei Hasebe*,23,1,4,0.2,9.93,13,6,NA,0,0,0,35.1,56,41,39,6,22,0,23,2,1,2,181,2.208,14.3,1.5,5.6,5.9,1.05
2008,Tohoku Rakuten Golden Eagles,ichiba001yas,Yasuhiro Ichiba,25,0,3,0,9.77,12,8,NA,0,0,0,31.1,49,38,34,3,21,0,27,1,0,5,165,2.234,14.1,0.9,6,7.8,1.29
2008,Tohoku Rakuten Golden Eagles,iwakum001his,Hisashi Iwakuma,27,21,4,0.84,1.87,28,28,NA,5,2,0,201.2,161,48,42,3,36,1,159,4,0,4,787,0.977,7.2,0.1,1.6,7.1,4.42
2008,Tohoku Rakuten Golden Eagles,kataya001hir,Hiroshi Katayama*,21,2,7,0.222,3.65,18,12,NA,2,1,0,79,70,35,32,4,35,0,71,8,0,2,346,1.329,8,0.5,4,8.1,2.03
2008,Tohoku Rakuten Golden Eagles,kawagi001tsu,Tsuyoshi Kawagishi,28,4,3,0.571,1.94,54,0,NA,0,0,3,55.2,49,14,12,2,20,5,47,1,0,1,231,1.24,7.9,0.3,3.2,7.6,2.35
2008,Tohoku Rakuten Golden Eagles,kitani001his,Hisashi Kitani,27,0,3,0,4.12,22,5,NA,0,0,1,39.1,40,18,18,5,13,0,24,5,0,1,174,1.347,9.2,1.1,3,5.5,1.85
2008,Tohoku Rakuten Golden Eagles,koyama001shi,Shinichiro Koyama,30,3,5,0.375,3.72,54,0,NA,0,0,4,67.2,58,29,28,8,25,0,71,5,0,3,283,1.227,7.7,1.1,3.3,9.4,2.84
2008,Tohoku Rakuten Golden Eagles,lin---001in-,Ying Chieh Lin*,27,0,2,0,5.23,5,1,NA,0,0,0,10.1,10,7,6,2,5,0,3,2,0,3,49,1.452,8.7,1.7,4.4,2.6,0.6
2008,Tohoku Rakuten Golden Eagles,makino001rui,Rui Makino,33,0,0,NA,9,1,0,NA,0,0,0,1,2,1,1,1,0,0,1,0,0,0,5,2,18,9,0,9,NA
2008,Tohoku Rakuten Golden Eagles,matsum001aki,Akira Matsumoto,30,0,0,NA,5.93,21,0,NA,0,0,0,27.1,41,19,18,5,11,1,16,1,0,3,131,1.902,13.5,1.6,3.6,5.3,1.45
2008,Tohoku Rakuten Golden Eagles,nagai-001sat,Satoshi Nagai,23,6,7,0.462,4.68,27,15,NA,2,2,0,117.1,121,68,61,17,47,0,111,4,0,6,521,1.432,9.3,1.3,3.6,8.5,2.36
2008,Tohoku Rakuten Golden Eagles,ogura-001his,Hisashi Ogura,37,0,0,NA,9.39,8,0,NA,0,0,0,7.2,11,8,8,4,1,0,10,2,0,0,37,1.565,12.9,4.7,1.2,11.7,10
2008,Tohoku Rakuten Golden Eagles,satake001ken,Kenta Satake*,29,2,0,1,2.14,24,0,NA,0,0,0,21,15,6,5,0,9,1,22,1,0,2,83,1.143,6.4,0,3.9,9.4,2.44
2008,Tohoku Rakuten Golden Eagles,satoh-002hir,Hiroshi Sato*,30,0,0,NA,0,1,0,NA,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,2,3,27,0,0,0,NA
2008,Tohoku Rakuten Golden Eagles,tanaka003mas,Masahiro Tanaka,19,9,7,0.563,3.49,25,24,NA,5,2,1,172.2,171,71,67,9,54,3,159,2,0,6,726,1.303,8.9,0.5,2.8,8.3,2.94
2008,Tohoku Rakuten Golden Eagles,watana001kok,Koki Watanabe*,30,0,2,0,9.45,14,0,NA,0,0,0,6.2,9,7,7,1,7,0,3,0,0,0,34,2.4,12.2,1.4,9.5,4.1,0.43
2008,Tohoku Rakuten Golden Eagles,yoshiz001mas,Masaru Yoshizaki*,29,0,0,NA,4.8,17,0,NA,0,0,0,15,15,8,8,0,6,0,8,1,0,1,66,1.4,9,0,3.6,4.8,1.33
