Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2008,Yokohama Bay Stars,doi---001yos,Yoshihiro Doi*,31,0,4,0,7.48,8,5,NA,0,0,0,27.2,41,23,23,6,6,0,16,1,0,0,127,1.699,13.3,2,2,5.2,2.67
2008,Yokohama Bay Stars,hata--001yuj,Yuji Hata,25,0,0,NA,23.63,2,0,NA,0,0,0,2.2,7,7,7,3,1,0,3,0,0,0,16,3,23.6,10.1,3.4,10.1,3
2008,Yokohama Bay Stars,hughes001tra,Travis Hughes,30,1,1,0.5,4.91,21,0,NA,0,0,1,22,23,12,12,3,11,1,18,1,0,0,100,1.545,9.4,1.2,4.5,7.4,1.64
2008,Yokohama Bay Stars,iriki-001yus,Yusaku Iriki,35,0,0,NA,8.53,3,0,NA,0,0,0,6.1,7,6,6,0,2,0,2,2,0,0,30,1.421,9.9,0,2.8,2.8,1
2008,Yokohama Bay Stars,ishii-001yuy,Yuya Ishii*,26,2,0,1,2.38,35,1,NA,0,0,0,45.1,28,12,12,3,16,2,40,2,0,0,177,0.971,5.6,0.6,3.2,7.9,2.5
2008,Yokohama Bay Stars,katoh-001tak,Takeharu Kato,30,0,1,0,6,14,0,NA,0,0,0,12,17,8,8,1,2,0,12,0,0,0,52,1.583,12.8,0.8,1.5,9,6
2008,Yokohama Bay Stars,kawamu001tak,Takeo Kawamura,36,1,0,1,4.26,9,1,NA,0,0,1,6.1,6,3,3,0,1,0,4,0,0,0,26,1.105,8.5,0,1.4,5.7,4
2008,Yokohama Bay Stars,kizuka001ats,Atsushi Kizuka,30,1,0,1,7.5,16,0,NA,0,0,0,6,7,5,5,0,1,0,8,1,0,0,27,1.333,10.5,0,1.5,12,8
2008,Yokohama Bay Stars,kobaya001fut,Futoshi Kobayashi,25,6,5,0.545,4.41,31,22,NA,1,1,1,128.2,136,63,63,19,43,0,69,11,0,0,561,1.391,9.5,1.3,3,4.8,1.6
2008,Yokohama Bay Stars,kudoh-001kim,Kimiyasu Kudo*,45,0,2,0,5.27,3,3,NA,0,0,0,13.2,21,13,8,3,5,0,7,1,0,2,70,1.902,13.8,2,3.3,4.6,1.4
2008,Yokohama Bay Stars,kuwaha001ken,Kentaro Kuwahara,22,3,6,0.333,4.74,30,10,NA,1,1,0,76,85,44,40,8,33,1,52,7,0,2,345,1.553,10.1,0.9,3.9,6.2,1.58
2008,Yokohama Bay Stars,mitsuh001nao,Naoki Mitsuhashi,27,0,0,NA,9.39,12,0,NA,0,0,0,15.1,24,18,16,5,9,0,7,0,0,0,78,2.152,14.1,2.9,5.3,4.1,0.78
2008,Yokohama Bay Stars,miura-001dai,Daisuke Miura,34,7,10,0.412,3.56,21,21,NA,4,1,0,144,137,63,57,22,29,0,111,4,0,4,589,1.153,8.6,1.4,1.8,6.9,3.83
2008,Yokohama Bay Stars,nasuno001tak,Takumi Nasuno*,25,5,12,0.294,6.47,22,17,NA,0,0,0,80.2,98,61,58,16,33,0,55,4,0,5,369,1.624,10.9,1.8,3.7,6.1,1.67
2008,Yokohama Bay Stars,ota---001ato,Atori Ota,18,0,2,0,8.03,5,1,NA,0,0,0,12.1,17,11,11,2,2,0,9,3,0,0,58,1.541,12.4,1.5,1.5,6.6,4.5
2008,Yokohama Bay Stars,oyamad001yas,Yasuhiro Oyamada,31,3,4,0.429,3.8,39,3,NA,0,0,0,47.1,48,22,20,2,20,0,25,3,0,2,205,1.437,9.1,0.4,3.8,4.8,1.25
2008,Yokohama Bay Stars,sanada001hir,Hiroki Sanada,24,2,4,0.333,4.91,26,5,NA,0,0,0,51.1,64,30,28,3,16,0,25,1,1,1,226,1.558,11.2,0.5,2.8,4.4,1.56
2008,Yokohama Bay Stars,sato--001sho,Shoma Sato*,18,0,1,0,4.08,16,3,NA,0,0,0,28.2,27,14,13,7,6,0,16,5,0,0,122,1.151,8.5,2.2,1.9,5,2.67
2008,Yokohama Bay Stars,takami001kaz,Kazuya Takamiya*,26,1,0,1,11.12,10,0,NA,0,0,0,5.2,9,7,7,0,2,0,2,1,0,0,28,1.941,14.3,0,3.2,3.2,1
2008,Yokohama Bay Stars,takasa001ken,Kentaro Takasaki,23,0,2,0,7.94,11,2,NA,0,0,0,17,30,17,15,3,9,0,17,0,0,1,90,2.294,15.9,1.6,4.8,9,1.89
2008,Yokohama Bay Stars,teraha001hay,Hayato Terahara,24,3,9,0.25,3.3,41,4,NA,0,0,22,71,57,26,26,4,12,0,66,2,0,4,282,0.972,7.2,0.5,1.5,8.4,5.5
2008,Yokohama Bay Stars,ushida001shi,Shigeki Ushida,26,0,2,0,5.25,23,0,NA,0,0,0,24,18,16,14,6,13,0,28,0,0,1,102,1.292,6.8,2.3,4.9,10.5,2.15
2008,Yokohama Bay Stars,white-002mat,Matt White*,30,1,0,1,4.5,15,0,NA,0,0,2,14,16,7,7,0,3,0,12,0,0,0,58,1.357,10.3,0,1.9,7.7,4
2008,Yokohama Bay Stars,willia003dav,David Williams*,29,2,2,0.5,4.26,7,7,NA,0,0,0,25.1,41,15,12,3,4,0,8,2,1,1,124,1.776,14.6,1.1,1.4,2.8,2
2008,Yokohama Bay Stars,wood--001mic,Mike Wood,28,3,12,0.2,4.69,26,26,NA,0,0,0,136.1,159,76,71,15,45,3,57,11,2,5,595,1.496,10.5,1,3,3.8,1.27
2008,Yokohama Bay Stars,yamagu001shu,Shun Yamaguchi,20,1,1,0.5,0.76,16,0,NA,0,0,0,23.2,10,2,2,1,16,0,28,1,0,2,96,1.099,3.8,0.4,6.1,10.6,1.75
2008,Yokohama Bay Stars,yamaki001shi,Shigetoshi Yamakita*,30,0,1,0,8.72,32,0,NA,0,0,0,21.2,34,26,21,5,6,1,17,4,0,2,106,1.846,14.1,2.1,2.5,7.1,2.83
2008,Yokohama Bay Stars,yokoya001yuk,Yukiya Yokoyama,31,3,5,0.375,3.22,51,0,NA,0,0,0,58.2,55,25,21,8,22,3,61,4,1,2,254,1.313,8.4,1.2,3.4,9.4,2.77
2008,Yokohama Bay Stars,yoshih001mic,Michiomi Yoshihara,26,0,2,0,6.43,25,1,NA,0,0,0,28,34,20,20,5,10,1,22,3,0,2,129,1.571,10.9,1.6,3.2,7.1,2.2
2008,Yokohama Bay Stars,yoshik001ter,Teruaki Yoshikawa,26,0,0,NA,1.84,4,2,NA,0,0,0,14.2,14,3,3,0,6,0,5,0,0,0,61,1.364,8.6,0,3.7,3.1,0.83
2008,Yokohama Bay Stars,yoshim001yuj,Yuji Yoshimi*,30,3,6,0.333,5.3,41,10,NA,1,0,0,86.2,96,51,51,15,28,3,56,6,0,2,380,1.431,10,1.6,2.9,5.8,2
