Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2015,Hokkaido Nippon Ham Fighters,arakak000hay,Hayato Arakaki,29,1,2,0.333,6.55,3,3,0,0,0,0,11,14,8,8,5,1,0,8,0,0,0,46,1.364,11.5,4.1,0.8,6.5,8
2015,Hokkaido Nippon Ham Fighters,arihar000koh,Kohei Arihara,22,8,6,0.571,4.79,18,18,0,1,1,0,103.1,113,60,55,13,32,0,81,3,0,2,453,1.403,9.8,1.1,2.8,7.1,2.53
2015,Hokkaido Nippon Ham Fighters,crotta001mic,Michael Crotta,30,2,2,0.5,6.59,30,0,8,0,0,0,28.2,36,24,21,2,19,1,18,5,0,1,145,1.919,11.3,0.6,6,5.7,0.95
2015,Hokkaido Nippon Ham Fighters,fujiok001yos,Yoshiaki Fujioka,30,0,0,NA,4.7,6,0,1,0,0,0,7.2,11,4,4,1,2,0,2,0,0,0,35,1.696,12.9,1.2,2.3,2.3,1
2015,Hokkaido Nippon Ham Fighters,garate001vic,Víctor Gárate*,30,3,1,0.75,1.71,13,3,6,0,0,0,26.1,20,9,5,0,17,1,19,4,1,3,116,1.405,6.8,0,5.8,6.5,1.12
2015,Hokkaido Nippon Ham Fighters,hakumu000aki,Akihiro Hakumura,23,1,1,0.5,2.03,50,0,10,0,0,0,57.2,42,16,13,6,19,0,66,3,0,3,233,1.058,6.6,0.9,3,10.3,3.47
2015,Hokkaido Nippon Ham Fighters,inui--000mas,Masahiro Inui*,26,0,0,NA,3.24,6,0,5,0,0,0,8.1,6,3,3,1,6,0,10,0,0,1,39,1.44,6.5,1.1,6.5,10.8,1.67
2015,Hokkaido Nippon Ham Fighters,ishii-001yuy,Yuya Ishii*,33,0,1,0,2.06,51,0,10,0,0,0,35,31,15,8,0,14,0,26,1,1,0,151,1.286,8,0,3.6,6.7,1.86
2015,Hokkaido Nippon Ham Fighters,kagiya000yoh,Yohei Kagiya,24,5,3,0.625,4.67,40,0,8,0,0,0,34.2,45,23,18,3,12,0,32,1,0,1,159,1.644,11.7,0.8,3.1,8.3,2.67
2015,Hokkaido Nippon Ham Fighters,kanehi000mas,Masashi Kanehira*,24,0,0,NA,0,4,0,1,0,0,0,3.1,2,0,0,0,1,0,1,0,0,0,12,0.9,5.4,0,2.7,2.7,1
2015,Hokkaido Nippon Ham Fighters,kisanu001hir,Hiroshi Kisanuki,35,0,0,NA,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,18,NA
2015,Hokkaido Nippon Ham Fighters,lively001mit,Mitch Lively,29,0,0,NA,5.3,16,0,5,0,0,0,18.2,19,14,11,0,15,0,22,1,3,0,89,1.821,9.2,0,7.2,10.6,1.47
2015,Hokkaido Nippon Ham Fighters,masui-001hir,Hirotoshi Masui,31,0,1,0,1.5,56,0,49,0,0,39,60,44,11,10,1,19,0,71,0,1,4,238,1.05,6.6,0.2,2.9,10.7,3.74
2015,Hokkaido Nippon Ham Fighters,mendoz002lui,Luis Mendoza,31,10,8,0.556,3.51,26,25,0,1,0,0,148.2,134,63,58,8,62,1,85,8,1,6,626,1.318,8.1,0.5,3.8,5.1,1.37
2015,Hokkaido Nippon Ham Fighters,miyani001nao,Naoki Miyanishi*,30,3,3,0.5,2.7,50,0,3,0,0,0,40,29,19,12,4,11,1,30,1,0,1,163,1,6.5,0.9,2.5,6.8,2.73
2015,Hokkaido Nippon Ham Fighters,moriuc000tos,Toshiharu Moriuchi,30,0,0,NA,0,2,0,1,0,0,0,2,2,0,0,0,0,0,2,0,0,0,8,1,9,0,0,9,NA
2015,Hokkaido Nippon Ham Fighters,nakamu002mas,Masaru Nakamura,23,2,4,0.333,4.17,10,9,1,1,0,0,49.2,41,23,23,5,33,0,26,3,0,0,218,1.49,7.4,0.9,6,4.7,0.79
2015,Hokkaido Nippon Ham Fighters,otani-000sho,Shohei Ohtani,20,15,5,0.75,2.24,22,22,0,5,3,0,160.2,100,40,40,7,46,0,196,3,0,9,621,0.909,5.6,0.4,2.6,11,4.26
2015,Hokkaido Nippon Ham Fighters,otsuka000yut,Yutaka Otsuka,27,0,0,NA,3,2,0,2,0,0,0,3,1,1,1,0,3,0,1,0,0,0,13,1.333,3,0,9,3,0.33
2015,Hokkaido Nippon Ham Fighters,saito-000yuk,Yuki Saitoh,27,1,3,0.25,5.74,12,7,3,0,0,0,42.1,52,28,27,5,14,0,24,1,0,0,190,1.559,11.1,1.1,3,5.1,1.71
2015,Hokkaido Nippon Ham Fighters,segawa000hay,Hayao Segawa*,28,0,0,NA,3.38,9,0,1,0,0,0,10.2,11,4,4,0,5,0,9,0,0,0,47,1.5,9.3,0,4.2,7.6,1.8
2015,Hokkaido Nippon Ham Fighters,sunaga001hid,Hideki Sunaga*,29,0,0,NA,5.06,5,0,2,0,0,0,5.1,7,4,3,2,1,0,2,0,0,1,24,1.5,11.8,3.4,1.7,3.4,2
2015,Hokkaido Nippon Ham Fighters,takana000hir,Hirotoshi Takanashi,24,0,1,0,3.68,2,1,0,0,0,0,7.1,5,5,3,1,3,0,7,1,1,0,31,1.091,6.1,1.2,3.7,8.6,2.33
2015,Hokkaido Nippon Ham Fighters,takeda001mas,Masaru Takeda*,36,3,2,0.6,5.84,9,9,0,0,0,0,37,51,26,24,6,5,0,15,4,0,1,168,1.514,12.4,1.5,1.2,3.6,3
2015,Hokkaido Nippon Ham Fighters,tanimo001kei,Keisuke Tanimoto,30,4,2,0.667,3.18,61,0,3,0,0,0,56.2,54,21,20,0,15,1,47,2,0,1,241,1.218,8.6,0,2.4,7.5,3.13
2015,Hokkaido Nippon Ham Fighters,urano-000hir,Hiroshi Urano,25,3,3,0.5,4.81,12,7,2,0,0,0,43,51,26,23,5,19,0,33,0,0,1,195,1.628,10.7,1,4,6.9,1.74
2015,Hokkaido Nippon Ham Fighters,uwasaw000nao,Naoyuki Uwasawa,21,5,6,0.455,4.18,13,13,0,1,0,0,75.1,75,41,35,6,30,0,43,5,1,1,335,1.394,9,0.7,3.6,5.1,1.43
2015,Hokkaido Nippon Ham Fighters,yagi--000sho,Shogo Yagi,26,2,0,1,3.96,18,0,6,0,0,0,25,24,15,11,3,6,0,11,1,0,0,104,1.2,8.6,1.1,2.2,4,1.83
2015,Hokkaido Nippon Ham Fighters,yanuki001tos,Toshiyuki Yanuki,31,0,0,NA,3.6,9,0,5,0,0,0,15,15,6,6,1,4,0,11,0,0,2,60,1.267,9,0.6,2.4,6.6,2.75
2015,Hokkaido Nippon Ham Fighters,yoshik001mit,Mitsuo Yoshikawa*,27,11,8,0.579,3.84,26,26,0,2,0,0,159.1,151,72,68,16,57,0,93,11,0,3,684,1.305,8.5,0.9,3.2,5.3,1.63
