Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2015,Saitama Seibu Lions,fujiwa000ryo,Ryohei Fujiwara,29,0,1,0,7.15,7,0,2,0,0,0,11.1,10,9,9,1,8,0,7,1,0,0,52,1.588,7.9,0.8,6.4,5.6,0.88
2015,Saitama Seibu Lions,fukuku000ken,Kentaro Fukukura,23,0,0,NA,4.5,1,0,1,0,0,0,2,1,1,1,0,4,0,2,0,0,0,10,2.5,4.5,0,18,9,0.5
2015,Saitama Seibu Lions,iwao--001tos,Toshihiro Iwao,27,1,0,1,6.52,21,0,4,0,0,0,29,34,22,21,0,18,0,29,3,0,2,140,1.793,10.6,0,5.6,9,1.61
2015,Saitama Seibu Lions,kikuch000yus,Yusei Kikuchi*,24,9,10,0.474,2.84,23,21,0,0,0,0,133,97,48,42,9,55,1,122,2,1,5,542,1.143,6.6,0.6,3.7,8.3,2.22
2015,Saitama Seibu Lions,kishi-001tak,Takayuki Kishi,30,5,6,0.455,3.02,16,16,0,5,0,0,110.1,75,40,37,6,25,0,91,5,0,0,434,0.906,6.1,0.5,2,7.4,3.64
2015,Saitama Seibu Lions,koishi000hir,Hirotaka Koishi*,28,0,0,NA,7.2,3,0,2,0,0,0,5,5,6,4,2,0,0,5,2,0,0,23,1,9,3.6,0,9,NA
2015,Saitama Seibu Lions,kuo---000chu,Chun Lin Kuo,23,3,7,0.3,5.31,21,17,1,0,0,0,79.2,97,55,47,10,37,1,49,7,1,3,377,1.682,11,1.1,4.2,5.5,1.32
2015,Saitama Seibu Lions,leblan001wad,Wade LeBlanc*,30,2,5,0.286,4.23,8,8,0,1,0,0,44.2,43,26,21,6,18,1,26,2,0,3,196,1.366,8.7,1.2,3.6,5.2,1.44
2015,Saitama Seibu Lions,makita000kaz,Kazuhisa Makita,30,9,11,0.45,3.66,34,21,8,1,0,3,137.2,143,68,56,7,44,2,66,11,0,1,596,1.358,9.3,0.5,2.9,4.3,1.5
2015,Saitama Seibu Lions,masuda000tat,Tatsushi Masuda,27,2,4,0.333,3.04,72,0,16,0,0,3,74,64,26,25,1,15,2,62,4,0,2,302,1.068,7.8,0.1,1.8,7.5,4.13
2015,Saitama Seibu Lions,mejia-002mig,Miguel Mejia,27,0,0,NA,14.73,4,0,1,0,0,0,3.2,10,6,6,1,3,0,4,0,0,1,23,3.545,24.5,2.5,7.4,9.8,1.33
2015,Saitama Seibu Lions,miyata001kaz,Kazuki Miyata*,26,1,0,1,5.21,18,0,7,0,0,0,19,19,11,11,3,15,0,15,0,0,2,91,1.789,9,1.4,7.1,7.1,1
2015,Saitama Seibu Lions,nishig001fum,Fumiya Nishiguchi,42,0,1,0,9,2,1,0,0,0,0,4,6,4,4,1,1,0,4,0,0,1,19,1.75,13.5,2.3,2.3,9,4
2015,Saitama Seibu Lions,nogami001ryo,Ryoma Nogami,28,7,7,0.5,4.22,27,22,0,0,0,0,134.1,127,68,63,15,46,0,77,4,0,1,565,1.288,8.5,1,3.1,5.2,1.67
2015,Saitama Seibu Lions,oishi-000tat,Tatsuya Oishi,26,0,0,NA,0,3,0,1,0,0,0,3.1,3,0,0,0,1,0,3,0,0,0,13,1.2,8.1,0,2.7,8.1,3
2015,Saitama Seibu Lions,okamot001ats,Atsushi Okamoto,34,1,0,1,3.05,23,0,7,0,0,0,20.2,25,9,7,2,2,0,8,2,0,1,89,1.306,10.9,0.9,0.9,3.5,4
2015,Saitama Seibu Lions,okamot001yos,Yosuke Okamoto,29,1,2,0.333,4.35,42,4,10,0,0,0,68.1,62,34,33,12,20,1,43,6,2,1,284,1.2,8.2,1.6,2.6,5.7,2.15
2015,Saitama Seibu Lions,sano--000yas,Yasuo Sano*,22,0,0,NA,5.4,2,1,1,0,0,0,5,6,4,3,1,5,0,4,0,0,0,26,2.2,10.8,1.8,9,7.2,0.8
2015,Saitama Seibu Lions,takaha000kon,Kona Takahashi,18,5,2,0.714,3.07,8,8,0,1,1,0,44,32,16,15,3,23,0,22,4,1,2,185,1.25,6.5,0.6,4.7,4.5,0.96
2015,Saitama Seibu Lions,takaha000tom,Tomomi Takahashi*,26,2,3,0.4,2.92,62,0,38,0,0,22,61.2,49,21,20,3,26,1,55,5,0,2,264,1.216,7.2,0.4,3.8,8,2.12
2015,Saitama Seibu Lions,takeku001sho,Shota Takekuma*,25,6,1,0.857,2.83,67,0,5,0,0,1,57.1,55,18,18,1,36,2,36,1,0,4,255,1.587,8.6,0.2,5.7,5.7,1
2015,Saitama Seibu Lions,tanaka001yas,Yasuhiro Tanaka,28,1,1,0.5,1.35,18,0,16,0,0,1,26.2,23,4,4,1,7,0,13,0,0,0,105,1.125,7.8,0.3,2.4,4.4,1.86
2015,Saitama Seibu Lions,togame000ken,Ken Togame,27,11,7,0.611,3.55,26,24,1,1,0,0,152,145,62,60,19,53,0,107,8,0,1,644,1.303,8.6,1.1,3.1,6.3,2.02
2015,Saitama Seibu Lions,toyoda000tak,Takuya Toyoda,28,0,0,NA,0,3,0,1,0,0,0,3.2,1,0,0,0,4,1,2,0,0,0,15,1.364,2.5,0,9.8,4.9,0.5
2015,Saitama Seibu Lions,vasque001esm,Esmerling Vásquez,31,3,1,0.75,3.63,34,0,12,0,0,0,34.2,40,15,14,0,21,3,21,3,0,3,161,1.76,10.4,0,5.5,5.5,1
