Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2016,Hiroshima Carp,delaba001ste,Steve Delabar,32,0,0,NA,0,2,NA,NA,0,0,0,2,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,18,NA
2016,Hiroshima Carp,egusa-001hir,Hirotaka Egusa*,35,0,0,NA,6,8,NA,NA,0,0,0,9,8,6,6,1,4,0,5,1,0,0,38,1.333,8,1,4,5,1.25
2016,Hiroshima Carp,fukui-000yuy,Yuya Fukui,28,5,4,0.556,4.34,13,NA,NA,0,0,0,76.2,84,38,37,9,30,0,63,4,0,0,345,1.487,9.9,1.1,3.5,7.4,2.1
2016,Hiroshima Carp,hagens001bra,Bradin Hagens,27,7,5,0.583,2.92,50,NA,NA,0,0,0,83.1,71,32,27,4,33,0,33,3,0,4,342,1.248,7.7,0.4,3.6,3.6,1
2016,Hiroshima Carp,hisamo001yui,Yuichi Hisamoto*,37,0,0,NA,45,1,NA,NA,0,0,0,1,4,5,5,1,2,0,2,0,0,0,9,6,36,9,18,18,1
2016,Hiroshima Carp,horie-000ats,Atsuya Horie*,19,0,1,0,11.37,3,NA,NA,0,0,0,6.1,6,8,8,2,4,0,6,1,0,0,28,1.579,8.5,2.8,5.7,8.5,1.5
2016,Hiroshima Carp,ichiok000ryu,Ryuji Ichioka,25,1,1,0.5,1.82,27,NA,NA,0,0,0,24.2,16,5,5,0,10,0,21,0,0,0,96,1.054,5.8,0,3.6,7.7,2.1
2016,Hiroshima Carp,iida--002tet,Tetsuya Iida*,25,0,0,NA,0,2,NA,NA,0,0,0,3.1,4,0,0,0,0,0,4,0,0,0,14,1.2,10.8,0,0,10.8,NA
2016,Hiroshima Carp,imamur001tak,Takeru Imamura,25,3,4,0.429,2.44,67,NA,NA,0,0,2,73.2,60,20,20,3,22,0,87,0,0,4,299,1.113,7.3,0.4,2.7,10.6,3.95
2016,Hiroshima Carp,jackso001jay,Jay Jackson,28,5,4,0.556,1.71,67,NA,NA,0,0,0,68.1,46,15,13,4,23,0,89,0,0,1,271,1.01,6.1,0.5,3,11.7,3.87
2016,Hiroshima Carp,johnso001kri,Kris Johnson*,31,15,7,0.682,2.15,26,NA,NA,3,2,0,180.1,154,50,43,11,49,2,141,3,0,3,736,1.126,7.7,0.5,2.4,7,2.88
2016,Hiroshima Carp,kuri--000are,Aren Kuri,24,2,2,0.5,4.5,27,NA,NA,0,0,0,80,79,47,40,9,37,0,52,1,0,0,351,1.45,8.9,1,4.2,5.9,1.41
2016,Hiroshima Carp,kuroda001hir,Hiroki Kuroda,41,10,8,0.556,3.09,24,NA,NA,1,1,0,151.2,152,54,52,14,30,3,98,3,0,3,623,1.2,9,0.8,1.8,5.8,3.27
2016,Hiroshima Carp,nagaka001kat,Katsuhiro Nagakawa,35,2,0,1,6.3,11,NA,NA,0,0,0,10,14,7,7,1,2,0,8,1,0,0,46,1.6,12.6,0.9,1.8,7.2,4
2016,Hiroshima Carp,nakamu000kyo,Kyohei Nakamura*,27,1,1,0.5,5.4,8,NA,NA,0,0,0,35,41,21,21,3,18,0,17,0,0,0,156,1.686,10.5,0.8,4.6,4.4,0.94
2016,Hiroshima Carp,nakaos000osc,Oscar Nakaoshi*,25,2,0,1,6.35,23,NA,NA,0,0,0,22.2,32,17,16,3,7,0,13,1,0,0,105,1.721,12.7,1.2,2.8,5.2,1.86
2016,Hiroshima Carp,nakata001ren,Ren Nakata,25,1,1,0.5,16.62,8,NA,NA,0,0,0,4.1,5,8,8,1,4,0,6,1,0,0,23,2.077,10.4,2.1,8.3,12.5,1.5
2016,Hiroshima Carp,nakaza000sho,Shota Nakazaki,23,3,4,0.429,1.32,61,NA,NA,0,0,34,61.1,50,11,9,2,19,2,54,2,0,0,251,1.125,7.3,0.3,2.8,7.9,2.84
2016,Hiroshima Carp,nishih000kei,Keita Nishihara,27,0,0,NA,12.6,2,NA,NA,0,0,0,5,12,7,7,1,1,0,2,0,0,0,27,2.6,21.6,1.8,1.8,3.6,2
2016,Hiroshima Carp,nomura001yus,Yusuke Nomura,27,16,3,0.842,2.71,25,NA,NA,1,1,0,152.2,139,50,46,11,37,0,91,6,0,3,633,1.153,8.2,0.6,2.2,5.4,2.46
2016,Hiroshima Carp,osera-001dai,Daichi Ohsera,25,3,1,0.75,3.32,17,NA,NA,0,0,0,21.2,15,8,8,2,6,0,24,1,0,1,87,0.969,6.2,0.8,2.5,10,4
2016,Hiroshima Carp,okada-002aki,Akitake Okada,22,4,3,0.571,3.02,18,NA,NA,1,0,0,89.1,89,34,30,6,25,0,60,0,2,4,375,1.276,9,0.6,2.5,6,2.4
2016,Hiroshima Carp,ono---000jum,Jumpei Ono,29,0,0,NA,7.36,6,NA,NA,0,0,0,7.1,8,7,6,2,2,0,3,2,0,0,35,1.364,9.8,2.5,2.5,3.7,1.5
2016,Hiroshima Carp,sato--001sho,Shoma Sato*,26,0,0,NA,7.71,2,NA,NA,0,0,0,2.1,5,2,2,0,1,0,3,1,0,0,14,2.571,19.3,0,3.9,11.6,3
2016,Hiroshima Carp,toda--000tak,Takaya Toda*,23,4,0,1,2.8,17,NA,NA,1,1,1,54.2,49,17,17,5,18,0,42,4,0,2,226,1.226,8.1,0.8,3,6.9,2.33
2016,Hiroshima Carp,yabuta000kaz,Kazuki Yabuta,23,3,1,0.75,2.61,16,NA,NA,0,0,0,31,21,9,9,3,22,0,21,2,0,3,137,1.387,6.1,0.9,6.4,6.1,0.95
2016,Hiroshima Carp,yokoya000hir,Hiroki Yokoyama,24,2,2,0.5,5.47,6,NA,NA,0,0,0,26.1,30,19,16,3,12,0,17,5,0,2,123,1.595,10.3,1,4.1,5.8,1.42
