Year,Team,PlayerID,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
2021,Chunichi Dragons,fujish000ken,Kento Fujishima,23,1,0,1,1.59,48,NA,NA,0,0,0,51,35,9,9,3,13,0,38,0,0,1,200,0.941,6.2,0.5,2.3,6.7,2.92
2021,Chunichi Dragons,fuku--000hir,Hiroto Fuku*,29,2,2,0.5,3.18,57,NA,NA,0,0,0,45.1,37,16,16,4,15,2,38,3,0,1,185,1.147,7.3,0.8,3,7.5,2.53
2021,Chunichi Dragons,fukuta000koj,Koji Fukutani,30,5,10,0.333,4.53,18,NA,NA,1,0,0,103.1,112,55,52,10,17,1,73,1,0,3,432,1.248,9.8,0.9,1.5,6.4,4.29
2021,Chunichi Dragons,hashim000yuk,Yuki Hashimoto*,23,0,0,NA,3.71,28,NA,NA,0,0,0,26.2,26,11,11,0,8,1,28,1,0,0,112,1.275,8.8,0,2.7,9.5,3.5
2021,Chunichi Dragons,kasaha001sho,Shotaro Kasahara*,26,0,2,0,6.3,4,NA,NA,0,0,0,20,20,14,14,4,17,1,13,0,0,1,94,1.85,9,1.8,7.7,5.9,0.76
2021,Chunichi Dragons,katsun000aki,Akiyoshi Katsuno,24,3,6,0.333,3.74,17,NA,NA,0,0,0,91.1,92,38,38,9,31,3,67,2,0,1,391,1.347,9.1,0.9,3.1,6.6,2.16
2021,Chunichi Dragons,kondo-000ren,Ren Kondo*,22,0,0,NA,4.5,2,NA,NA,0,0,0,2,1,1,1,0,3,0,2,0,0,1,10,2,4.5,0,13.5,9,0.67
2021,Chunichi Dragons,martin001rai,Raidel Martínez,24,1,4,0.2,2.06,49,NA,NA,0,0,23,48,26,11,11,1,10,1,59,1,1,1,178,0.75,4.9,0.2,1.9,11.1,5.9
2021,Chunichi Dragons,matayo000kat,Katsuki Matayoshi,30,3,2,0.6,1.28,66,NA,NA,0,0,8,63.1,47,11,9,2,22,2,41,1,0,0,245,1.089,6.7,0.3,3.1,5.8,1.86
2021,Chunichi Dragons,matsub000tak,Takahiro Matsuba*,30,6,5,0.545,3.2,14,NA,NA,0,0,0,76,74,30,27,7,15,0,41,2,0,3,309,1.171,8.8,0.8,1.8,4.9,2.73
